story_role,n_families,n_model_supported,n_highly_pure,n_with_external_nfix_response_proteomics,n_with_external_active_phase_up_proteomics,n_with_related_atlas_match,mean_accessory_story_score,mean_scope_adjusted_story_score,top_family_examples
Nitrogen assimilation and regulation,25,12,13,8,3,6,3.008,3.468,GF_00124 (urease subunit gamma); GF_00093 (global nitrogen regulator NtcA); GF_01395 (P-II family nitrogen regulator); GF_00395 (glutamate synthase large subunit); GF_00608 (glutamate synthase small subunit)
Carbon flux and reductant supply,74,38,36,31,11,13,2.972,3.431,GF_00143 (ketol-acid reductoisomerase); GF_00122 (S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol); GF_00741 (3-isopropylmalate dehydrogenase); GF_00624 (NADP-dependent isocitrate dehydrogenase); GF_01818 (glucose-6-phosphate dehydrogenase)
Transport,5,3,2,1,1,1,3.0,3.25,GF_02072 (potassium-transporting ATPase subunit KdpB); GF_00949 (ChuX/HutX family heme-like substrate-binding protein); GF_01897 (potassium-transporting ATPase subunit KdpB); GF_01907 (potassium-transporting ATPase subunit KdpB); GF_01587 (potassium-transporting ATPase subunit KdpA)
Respiration and bioenergetics,91,44,47,20,13,27,2.606,3.035,GF_00916 (NAD(P)H-quinone oxidoreductase subunit H); GF_01816 (photosynthetic/respiratory NAD(P)H-quinone oxidoreductase su); GF_00318 (NAD(P)H-quinone oxidoreductase subunit N); GF_01297 (cytochrome b6); GF_01652 (cytochrome c oxidase subunit I)
Metallocluster and cofactor support,53,21,32,15,5,13,2.475,3.013,GF_00136 (ferredoxin:protochlorophyllide reductase (ATP-dependent) sub); GF_02262 (co-chaperone GroES); GF_00968 (Fe-S cluster assembly protein SufB); GF_01541 (acetyl-CoA carboxylase biotin carboxylase subunit); GF_00613 (molybdopterin-synthase adenylyltransferase MoeB)
"Proteostasis, translation, and repair",156,71,85,55,29,34,2.476,2.958,GF_00658 (ATP-dependent protease ATP-binding subunit ClpX); GF_01542 (tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase); GF_01689 (ATP-dependent Clp protease proteolytic subunit); GF_00614 (molecular chaperone DnaK); GF_00343 (translation initiation factor IF-1)
Core nitrogenase / nif machinery,14,1,13,10,10,1,2.011,2.904,GF_00526 (nitrogenase molybdenum-iron protein alpha chain); GF_02221 (nitrogenase iron-molybdenum cofactor biosynthesis protein Ni); GF_01463 (homocitrate synthase); GF_00814 (NifU family protein); GF_01922 (nitrogenase cofactor biosynthesis protein NifB)
Regulation,6,2,4,0,0,1,2.292,2.875,GF_00324 (ATP-dependent sacrificial sulfur transferase LarE); GF_01688 (sulfurtransferase TusA family protein); GF_00359 (DNA sulfur modification protein DndE); GF_00591 (cysteine desulfurase); GF_00559 (cysteine desulfurase family protein)
Other / unassigned,658,202,456,138,45,129,2.186,2.808,GF_00623 (peptide chain release factor 3); GF_01387 (2-isopropylmalate synthase); GF_00051 (threonine synthase); GF_00771 (NYN domain-containing protein); GF_01233 (glutamate-1-semialdehyde 2%2C1-aminomutase)
"Oxygen, redox, and stress protection",181,48,133,22,9,45,2.006,2.656,GF_01860 (hypothetical protein); GF_00300 (magnesium-protoporphyrin IX monomethyl ester (oxidative) cyc); GF_00072 (TRC40/GET3/ArsA family transport-energizing ATPase); GF_00340 (DUF3155 domain-containing protein); GF_00352 (thioredoxin)
Regulatory / signaling,72,16,56,9,5,16,1.91,2.598,GF_01930 (response regulator transcription factor); GF_00335 (LysR family transcriptional regulator); GF_01945 (response regulator transcription factor RpaB); GF_00235 (response regulator transcription factor); GF_00524 (extracellular matrix/biofilm regulator RemA)
Transport and envelope remodeling,103,14,89,7,6,17,1.651,2.454,GF_00303 (glycosyltransferase family 2 protein); GF_00622 (amino acid ABC transporter ATP-binding protein); GF_00816 (excinuclease ABC subunit UvrB); GF_00655 (ABC-F family ATP-binding cassette domain-containing protein); GF_01315 (excinuclease ABC subunit UvrB)
Housekeeping / lineage marker,19,4,15,3,2,6,1.171,1.882,GF_00393 (DNA-directed RNA polymerase subunit beta); GF_01926 (DNA-directed RNA polymerase subunit gamma); GF_02178 (DNA topoisomerase (ATP-hydrolyzing) subunit B); GF_00823 (DNA-directed RNA polymerase subunit omega); GF_00671 (DNA polymerase III subunit alpha)
