metric,value
all_candidate_families,1457
model_supported_families,476
highly_pure_families,981
families_with_external_literature_mapping,439
families_with_external_nfix_response_proteomics,319
families_with_external_active_phase_up_proteomics,139
families_with_two_or_more_external_active_phase_up_contexts,15
families_with_related_protein_atlas_match,309
tier_a_story_leading_accessory,31
tier_b_strong_accessory,138
tier_hp_evidence_supported_high_purity_marker,5
core_or_diagnostic_controls,12
housekeeping_lineage_deemphasized,160
