test	group	threshold	group_n	other_n	group_hits	other_hits	odds_ratio	p_value	group_median_score	other_median_score	group_mean_score	other_mean_score
mannwhitney_best_score_greater	Model-Supported		369	942				5.268689048765102e-18	1.038584469314728e-05	2.5615250516683898e-06	0.015425309637960011	0.012595088215035797
fisher_top_family_percentile_greater	Model-Supported	top_1pct	369	942	3	10	0.7639344262295082	0.7555238700479724	1.038584469314728e-05	2.5615250516683898e-06	0.015425309637960011	0.012595088215035797
fisher_top_family_percentile_greater	Model-Supported	top_5pct	369	942	34	31	2.9825710158883005	2.134703265478807e-05	1.038584469314728e-05	2.5615250516683898e-06	0.015425309637960011	0.012595088215035797
fisher_top_family_percentile_greater	Model-Supported	top_10pct	369	942	64	67	2.740396378761928	8.905997784304574e-08	1.038584469314728e-05	2.5615250516683898e-06	0.015425309637960011	0.012595088215035797
fisher_top_family_percentile_greater	Model-Supported	top_20pct	369	942	120	142	2.715085694892245	5.108756580949782e-12	1.038584469314728e-05	2.5615250516683898e-06	0.015425309637960011	0.012595088215035797
mannwhitney_best_score_greater	Highly Pure		934	377				1.0	2.5156384592047312e-06	1.038584469314728e-05	0.011748980403504602	0.01746144471643944
fisher_top_family_percentile_greater	Highly Pure	top_1pct	934	377	9	4	0.9072972972972972	0.6917930195931418	2.5156384592047312e-06	1.038584469314728e-05	0.011748980403504602	0.01746144471643944
fisher_top_family_percentile_greater	Highly Pure	top_5pct	934	377	30	35	0.3242730720606827	0.9999964432286946	2.5156384592047312e-06	1.038584469314728e-05	0.011748980403504602	0.01746144471643944
fisher_top_family_percentile_greater	Highly Pure	top_10pct	934	377	66	65	0.3649769585253456	0.9999999709569134	2.5156384592047312e-06	1.038584469314728e-05	0.011748980403504602	0.01746144471643944
fisher_top_family_percentile_greater	Highly Pure	top_20pct	934	377	139	123	0.36105742189497364	0.9999999999994469	2.5156384592047312e-06	1.038584469314728e-05	0.011748980403504602	0.01746144471643944
mannwhitney_best_score_greater	Any candidate inventory		1303	8				0.9407419067572486	3.584981073565248e-06	1.0717658531427638e-05	0.012790089756930575	0.11137817521130314
fisher_top_family_percentile_greater	Any candidate inventory	top_1pct	1303	8	12	1	0.06506584043377227	0.9975409099949161	3.584981073565248e-06	1.0717658531427638e-05	0.012790089756930575	0.11137817521130314
fisher_top_family_percentile_greater	Any candidate inventory	top_5pct	1303	8	64	1	0.3615819209039548	0.9441294816297396	3.584981073565248e-06	1.0717658531427638e-05	0.012790089756930575	0.11137817521130314
fisher_top_family_percentile_greater	Any candidate inventory	top_10pct	1303	8	130	1	0.7757885763000852	0.8136753586710886	3.584981073565248e-06	1.0717658531427638e-05	0.012790089756930575	0.11137817521130314
fisher_top_family_percentile_greater	Any candidate inventory	top_20pct	1303	8	259	3	0.41347381864623245	0.9444189677186509	3.584981073565248e-06	1.0717658531427638e-05	0.012790089756930575	0.11137817521130314
