paper_short,year,organism_or_system,downloaded_file,status,source_url,doi_or_dataset,manuscript_use_note
Aryal et al. BMC Systems Biology,2011,Cyanothece ATCC51142,Aryal_2011_Cyanothece_ATCC51142_TableS2_labeled_proteins.xls,downloaded,https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-5-194/MediaObjects/12918_2011_830_MOESM1_ESM.XLS,10.1186/1752-0509-5-194,Direct unicellular diazotroph proteomics; 721 labeled proteins across light-dark cycles; useful for nitrogenase plus respiration/glycogen/carbon/N-assimilation framing.
Aryal et al. BMC Systems Biology,2011,Cyanothece ATCC51142,Aryal_2011_Cyanothece_ATCC51142_TableS1_labeled_peptides.xls,downloaded,https://static-content.springer.com/esm/art%3A10.1186%2F1752-0509-5-194/MediaObjects/12918_2011_830_MOESM2_ESM.XLS,10.1186/1752-0509-5-194,Peptide-level companion table; lower priority than protein table unless mapping needs peptide evidence.
Welkie et al. BMC Genomics,2014,Cyanothece PCC 7822,Welkie_2014_Cyanothece_PCC7822_TableS4_protein.xlsx,downloaded,https://static-content.springer.com/esm/art%3A10.1186%2F1471-2164-15-1185/MediaObjects/12864_2014_6950_MOESM7_ESM.xlsx,10.1186/1471-2164-15-1185,Direct Cyanothece protein table; useful for diel nitrogen fixation/photosynthesis/carbon-storage modules and nitrogen-metabolism worksheet.
Panda et al. Scientific Reports,2025,Crocosphaera subtropica ATCC 51142,Panda_2025_Crocosphaera_ATCC51142_nitrogen_fixation_supp_table.xlsx,downloaded,https://static-content.springer.com/esm/art%3A10.1038%2Fs41598-025-21588-0/MediaObjects/41598_2025_21588_MOESM2_ESM.xlsx,10.1038/s41598-025-21588-0,Best modern unicellular comparison; contains MaxQuant peptide/protein groups plus nitrogen-fixing vs nitrate and light/dark tables.
Sandh et al. BMC Genomics,2014,Nostoc punctiforme heterocysts,Sandh_2014_Nostoc_punctiforme_heterocyst_proteome_TableS1.xlsx,downloaded,https://static-content.springer.com/esm/art%3A10.1186%2F1471-2164-15-1064/MediaObjects/12864_2014_6948_MOESM1_ESM.xlsx,10.1186/1471-2164-15-1064,Heterocyst cell-type protein ratios; useful for heterocystous diazotroph cross-morphotype support.
Sandh et al. BMC Genomics,2014,Nostoc punctiforme heterocysts,Sandh_2014_Nostoc_punctiforme_heterocyst_proteome_TableS2.xlsx,downloaded,https://static-content.springer.com/esm/art%3A10.1186%2F1471-2164-15-1064/MediaObjects/12864_2014_6948_MOESM2_ESM.xlsx,10.1186/1471-2164-15-1064,Novel quantitative heterocyst/N2-fixing filament proteins; useful as a supporting heterocyst table.
Sandh et al. BMC Genomics,2014,Nostoc punctiforme heterocysts,Sandh_2014_Nostoc_punctiforme_heterocyst_proteome_TableS4.xlsx,downloaded,https://static-content.springer.com/esm/art%3A10.1186%2F1471-2164-15-1064/MediaObjects/12864_2014_6948_MOESM4_ESM.xlsx,10.1186/1471-2164-15-1064,Comparative heterocyst relative abundance table; useful for checking conserved heterocyst modules across studies.
Held et al. Nature Microbiology / BCO-DMO,2022,Trichodesmium erythraeum IMS101,Held_2022_Trichodesmium_diel_proteins_BCODMO_tabular.csv,downloaded,https://datadocs.bco-dmo.org/dataset/783873/file/8XXgnXyTXY9xZ5/diel_proteins.csv,10.26008/1912/bco-dmo.783873.1,Processed diel Trichodesmium protein abundance in tidy format; best non-heterocystous filamentous proteomics table.
Held et al. Nature Microbiology / BCO-DMO,2022,Trichodesmium erythraeum IMS101,Held_2022_Trichodesmium_dielproteindata_BCODMO_matrix.csv,downloaded,https://datadocs.bco-dmo.org/data/302/ProteOMZ/783873/1/data/dielproteindata.csv,10.26008/1912/bco-dmo.783873.1,Matrix version of the same Trichodesmium culture data; convenient for quick matching by protein name/locus.
Held et al. Nature Microbiology / BCO-DMO,2022,Trichodesmium erythraeum IMS101,Held_2022_Trichodesmium_diel_proteins_ERDDAP.csv,downloaded,https://erddap.bco-dmo.org/erddap/tabledap/bcodmo_dataset_783873.csv,10.26008/1912/bco-dmo.783873.1,ERDDAP export of tabular dataset; mostly redundant with BCO-DMO tabular CSV.
Aryal et al. Applied and Environmental Microbiology,2013,Cyanothece ATCC51142 and PCC7822,not_downloaded_site_blocked,blocked,https://journals.asm.org/doi/10.1128/AEM.02864-12,10.1128/AEM.02864-12,Strong narrative citation for enhanced H2/N2-fixing Cyanothece proteomes; supplement blocked by ASM automated access.
Zhang et al. Journal of Proteome Research,2021,Anabaena PCC 7120 nitrogen deficiency,not_downloaded_site_blocked,blocked,https://pubs.acs.org/doi/10.1021/acs.jproteome.1c00302,10.1021/acs.jproteome.1c00302,Good narrative citation for Anabaena nitrogen-deficiency proteome; ACS supporting information blocked by automated access.
Saito et al. PNAS,2011,Crocosphaera watsonii iron/metalloenzyme economy,not_downloaded_site_blocked,blocked,https://www.pnas.org/doi/10.1073/pnas.1006943108,10.1073/pnas.1006943108,Excellent narrative citation for metal/cofactor economy and diel proteome turnover; supplement blocked by automated access.
Anderson et al. ISME Journal,2025,Trichodesmium field metaproteomes,not_downloaded_site_blocked,optional_blocked,https://academic.oup.com/ismej/article/19/1/wraf120/8158087,10.1093/ismejo/wraf120,Optional ecological metaproteome support; lower priority because Held BCO-DMO gives cleaner processed Trichodesmium proteomics.
