narrative_id,narrative_title,surprise_level,family_count,families_still_in_updated_top,families_with_active_phase_up,families_with_two_active_up_studies,families_with_broad_response,families_broad_only_no_active_up,mean_new_scope_adjusted_score,mean_old_scope_adjusted_score,mean_score_delta,mean_literature_proteomics_score,tier_a_new,tier_b_new,tier_hp_new,core_or_deemphasized_new,old_tier_a,old_tier_b,old_tier_hp,active_up_studies,active_up_contexts,top_active_up_examples,active_up_fraction,still_top_fraction,broad_only_fraction,concept_status,top_active_up_or_best_examples,creative_hypothesis,manuscript_safe_framing,main_caution
N1,Carbon capture may be a diazotrophy control knob,High,13,11,7,1,13,6,5.311538461538461,7.042307692307692,-1.7307692307692308,0.6538461538461539,3,8,0,0,11,2,0,Held et al. 2022; Panda et al. 2025; Sandh et al. 2014,heterocyst; nonheterocystous filament; unicellular,,0.538,0.846,0.462,mostly intact,GF_00122 (S-(hydroxymethyl)glutathione dehydrogenase/class III al); GF_00624 (NADP-dependent isocitrate dehydrogenase); GF_01818 (glucose-6-phosphate dehydrogenase); GF_00350 (ribulose-phosphate 3-epimerase); GF_00281 (carbon dioxide-concentrating mechanism protein CcmK); GF_00969 (phosphoribulokinase); GF_00409 (class 1 fructose-bisphosphatase); GF_00396 (CO2 hydration protein),"The family set repeatedly points to CO2 uptake, Calvin-cycle entry, and redox-linked carbon metabolism. This suggests that maintaining nitrogenase may depend on carbon-concentrating/photosynthetic-state control, not only oxygen removal.","Prioritized families include carbon-concentrating, Calvin-cycle, and redox-carbon enzymes, consistent with coupling between diazotrophy and carbon/reductant balancing.",Do not claim these genes directly regulate nif without perturbation or expression-timing evidence.
N2,A shared envelope/matrix microenvironment may replace a single morphotype solution,Very high,9,9,2,1,8,6,5.261111111111111,6.761111111111111,-1.5,0.3888888888888889,1,8,0,0,6,3,0,Held et al. 2022; Panda et al. 2025; Sandh et al. 2014,heterocyst; nonheterocystous filament; unicellular,,0.222,1.0,0.667,weakened; use cautiously,GF_00303 (glycosyltransferase family 2 protein); GF_00081 (sugar phosphate nucleotidyltransferase); GF_00435 (rod shape-determining protein); GF_00047 (NAD-dependent epimerase/dehydratase family protein); GF_00316 (UDP-glucose/GDP-mannose dehydrogenase family protein); GF_00415 (GDP-mannose 4%2C6-dehydratase); GF_00430 (GDP-L-fucose synthase family protein); GF_00524 (extracellular matrix/biofilm regulator RemA),"Across morphotypes, families involved in nucleotide-sugar chemistry, glycan/EPS precursors, sulfolipid/envelope chemistry, RemA-like matrix regulation, and cell shape recur. This looks like a generalized microenvironment-building layer for controlling O2 diffusion, surfaces, and local redox state.","The composite prioritizes envelope, glycan, and matrix-associated candidates that may contribute to the cellular microenvironments required for nitrogen fixation.",Avoid treating unicellular and heterocyst envelope biology as identical; frame as convergent microenvironment logic.
N3,Light-harvesting and tetrapyrrole metabolism may be part of the nitrogen-fixing state,High,19,18,6,1,17,11,5.276315789473684,7.0394736842105265,-1.763157894736842,0.39473684210526316,5,13,0,0,13,6,0,Held et al. 2022; Panda et al. 2025,nonheterocystous filament; unicellular,,0.316,0.947,0.579,narrowed but usable,GF_01233 (glutamate-1-semialdehyde 2%2C1-aminomutase); GF_00136 (ferredoxin:protochlorophyllide reductase (ATP-dependent); GF_00104 (15-cis-phytoene desaturase); GF_00300 (magnesium-protoporphyrin IX monomethyl ester (oxidative); GF_01449 ((E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase); GF_01383 (magnesium chelatase ATPase subunit I); GF_01502 (phycobilisome linker polypeptide); GF_00457 (porphobilinogen synthase),"DPOR, magnesium chelatase, Mg-protoporphyrin cyclase, porphyrin synthesis, isoprenoid/carotenoid precursors, and phycobilisome families recur. This suggests that diazotrophy may involve active tuning of pigment synthesis and photosynthetic excitation pressure.","Tetrapyrrole, chlorophyll, carotenoid/isoprenoid, and light-harvesting families point to coordination between pigment metabolism and diazotrophic physiology.","DPOR is nitrogenase-like chemistry, not a nitrogenase assembly factor."
N4,Electron valves and O2 drawdown are the most conventional but still powerful signal,Medium,27,26,9,1,19,10,5.127777777777777,5.8314814814814815,-0.7037037037037037,0.3888888888888889,2,20,4,0,6,17,4,Held et al. 2022; Panda et al. 2025; Sandh et al. 2014; Welkie et al. 2014,heterocyst; nonheterocystous filament; unicellular,,0.333,0.963,0.37,narrowed but usable,GF_00916 (NAD(P)H-quinone oxidoreductase subunit H); GF_01816 (photosynthetic/respiratory NAD(P)H-quinone oxidoreducta); GF_00968 (Fe-S cluster assembly protein SufB); GF_01297 (cytochrome b6); GF_01652 (cytochrome c oxidase subunit I); GF_01882 (hydrogenase); GF_00318 (NAD(P)H-quinone oxidoreductase subunit N); GF_00352 (thioredoxin),"Respiratory NDH/cytochrome/hydrogenase families, redox enzymes, Fe-S assembly, and antioxidant systems form the expected oxygen-management backbone. The surprising part is that this backbone remains visible after prioritizing accessory families rather than core nif.",The prioritized set reinforces respiratory and redox modules that can support nitrogenase-compatible O2 and electron-transfer conditions.,Do not claim every respiratory family is nitrogenase-specific.
N5,Diazotrophy may impose a protein- and RNA-maintenance regime,Very high,19,18,16,6,18,2,6.144736842105263,6.723684210526316,-0.5789473684210527,1.3157894736842106,12,6,0,0,14,5,0,Held et al. 2022; Panda et al. 2025,nonheterocystous filament; unicellular,,0.842,0.947,0.105,strengthened/clean lead,GF_00658 (ATP-dependent protease ATP-binding subunit ClpX); GF_00623 (peptide chain release factor 3); GF_01233 (glutamate-1-semialdehyde 2%2C1-aminomutase); GF_00771 (NYN domain-containing protein); GF_01542 (tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransf); GF_01689 (ATP-dependent Clp protease proteolytic subunit); GF_00614 (molecular chaperone DnaK); GF_00079 (ATP-dependent Clp protease proteolytic subunit),"Clp, DnaK, GroEL/GroES, TypA, release factors, MiaB/MnmG, NusA, PNPase, and two NYN-domain families suggest a coordinated translation/proteostasis/RNA-turnover layer. This looks like state maintenance under redox and metabolic stress rather than a single pathway.","Proteostasis, translation, tRNA modification, and RNA-turnover candidates suggest that diazotrophy places broad maintenance demands on the protein-expression machinery.",Avoid calling these nitrogenase-specific chaperones or nif RNA regulators.
N6,The top signal may be the metabolic sink for fixed nitrogen,High,19,17,11,3,17,6,5.589473684210526,6.905263157894736,-1.3157894736842106,0.8157894736842105,5,12,0,0,12,7,0,Held et al. 2022; Panda et al. 2025; Sandh et al. 2014,heterocyst; nonheterocystous filament; unicellular,,0.579,0.895,0.316,mostly intact,GF_00143 (ketol-acid reductoisomerase); GF_01387 (2-isopropylmalate synthase); GF_00051 (threonine synthase); GF_00741 (3-isopropylmalate dehydrogenase); GF_01376 (3-isopropylmalate dehydratase large subunit); GF_01446 (LL-diaminopimelate aminotransferase); GF_00093 (global nitrogen regulator NtcA); GF_01395 (P-II family nitrogen regulator),"Threonine synthase is the top family, and multiple branched-chain amino acid, DAP, tryptophan, glutamine/GMP, urease, and nitrogen-regulator families recur. The model may be seeing the cellular commitment to use fixed nitrogen, not just protect nitrogenase.",Amino-acid biosynthesis and nitrogen-regulatory families indicate that fixed-N assimilation and redistribution are part of the accessory architecture.,Do not imply amino acid enzymes cause diazotrophy; they may mark the assimilation demand created by it.
N7,Nucleotide economy and methylation may be quietly important,High,14,12,5,1,12,7,5.117857142857143,6.439285714285715,-1.3214285714285714,0.4642857142857143,2,9,1,0,8,5,1,Held et al. 2022; Panda et al. 2025,nonheterocystous filament; unicellular,,0.357,0.857,0.5,narrowed but usable,GF_01542 (tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransf); GF_00360 (inorganic diphosphatase); GF_00436 (adenylosuccinate synthase); GF_00085 (adenylosuccinate lyase); GF_00866 (adenosylhomocysteinase); GF_02071 (methionine adenosyltransferase); GF_00434 (GuaB3 family IMP dehydrogenase-related protein); GF_00740 (UMP kinase),"UMP kinase, inorganic diphosphatase, IMP dehydrogenase-related protein, adenylosuccinate synthase, GMP synthase, nucleoside deaminase, methionine adenosyltransferase, and adenosylhomocysteinase suggest high nucleotide turnover, RNA remodeling, and methylation/SAM demand.",Nucleotide metabolism and methylation-associated families may reflect the energetic and regulatory load of diazotrophic state transitions.,This is a creative synthesis; keep it as a Discussion hypothesis unless stronger pathway enrichment is run.
N8,Condensate-ranked families cluster around assembly and state transitions,Medium-high,52,45,23,3,47,24,5.377884615384615,6.483653846153847,-1.1057692307692308,0.5288461538461539,14,30,1,0,29,22,1,Held et al. 2022; Panda et al. 2025; Sandh et al. 2014,heterocyst; nonheterocystous filament; unicellular,,0.442,0.865,0.462,narrowed but usable,GF_00658 (ATP-dependent protease ATP-binding subunit ClpX); GF_00623 (peptide chain release factor 3); GF_01387 (2-isopropylmalate synthase); GF_00614 (molecular chaperone DnaK); GF_00916 (NAD(P)H-quinone oxidoreductase subunit H); GF_00741 (3-isopropylmalate dehydrogenase); GF_01799 (chaperonin GroEL); GF_00290 (ATP-dependent Clp protease ATP-binding subunit),"The condensate-associated layer is not dominated by one kind of protein. It includes Clp/GroEL/DnaK, Mg chelatase, NDH subunits, pigment enzymes, release factors, KaiC, RpaB, HU, and PNPase. That pattern is consistent with assembly-prone, state-switching, or spatially organized modules rather than generic soluble metabolism.","Condensate ranking prioritizes a subset enriched for proteostasis, redox, pigment, and regulatory proteins, suggesting spatial organization as a useful prioritization lens.","Do not infer phase separation for each family; use as prioritization, not proof."
N9,Cell architecture and positioning may be part of the physiology,High,9,8,3,2,6,3,5.272222222222222,5.772222222222222,-0.5,0.6666666666666666,2,6,0,0,3,6,0,Held et al. 2022; Panda et al. 2025; Sandh et al. 2014,heterocyst; nonheterocystous filament; unicellular,,0.333,0.889,0.333,narrowed but usable,GF_00303 (glycosyltransferase family 2 protein); GF_00536 (gas vesicle structural protein GvpA); GF_01930 (response regulator transcription factor); GF_00435 (rod shape-determining protein); GF_01945 (response regulator transcription factor RpaB); GF_00524 (extracellular matrix/biofilm regulator RemA); GF_00235 (response regulator transcription factor); GF_02072 (potassium-transporting ATPase subunit KdpB),"Gas vesicle structural protein, rod shape-determining protein, RemA-like matrix regulator, glycan/EPS enzymes, potassium transport, and response regulators point to spatial control: buoyancy, morphology, local diffusion, osmotic balance, and colony/mat microenvironments.","Several prioritized families are compatible with cell-surface, shape, buoyancy, and microenvironment regulation, a plausible but under-tested layer of diazotrophic physiology.","This is the most speculative narrative; use it to motivate follow-up, not as a central claim."
N10,Annotation collisions may themselves reveal family-boundary problems worth checking,Technical but important,4,4,2,0,2,0,5.6875,6.4375,-0.75,0.5,2,1,1,0,2,1,1,Panda et al. 2025,unicellular,,0.5,1.0,0.0,mostly intact,GF_00360 (inorganic diphosphatase); GF_01860 (hypothetical protein); GF_00175 (DUF433 domain-containing protein); GF_01658 (NAD(P)H-quinone oxidoreductase subunit M),"A few high-scoring families have product or atlas-label tensions, such as GF_00360 being inorganic diphosphatase locally while the related atlas label points to a ribosomal protein, and GF_01860 being hypothetical/DUF2164 locally but pyridoxine-phosphate synthase in the related atlas. These may be real homologous-family ambiguities, family-boundary issues, or annotation-rescue opportunities.",Some prioritized families require sequence-level annotation reconciliation before being used as mechanistic anchors.,Do not narrate these as biology until representative sequences and domain architectures are checked.
