gene_family,aryal_gene,aryal_product,current_product,aryal_module_bin,current_module_bin,aryal_consensus_rank_pct_mean,current_candidate_set,current_best_rank,current_consensus_rank_pct_mean,current_fox_status,layer_fox,layer_proteomics_detected,layer_proteomics_directional,three_layer_model_fox_proteomics_directional,hgt_passenger_flag,frac_assemblies_proximal,fisher_p_vs_background,exact_product_match
GF_00975,cysK,cysteine synthase A,DUF3181 family protein,Other / unassigned,Stress / membrane / uncharacterized,0.1297666902303358,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,True,0.3165,0.00042,False
GF_00671,,type I glyceraldehyde-3-phosphate dehydrogenase,DNA polymerase III subunit alpha,Other / unassigned,Housekeeping / lineage marker,0.5833452520100859,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.2752,2e-05,False
GF_00355,ndk,nucleoside-diphosphate kinase,histidinol dehydrogenase,Other / unassigned,Other / unassigned,0.9442651061690112,Model-Supported,152.0,0.3732057416267942,FOX-consistent support function (plausible rediscovery),True,True,True,True,False,0.175,0.15546,False
GF_01602,rbfA,30S ribosome-binding factor RbfA,carbon dioxide-concentrating mechanism protein CcmK,Housekeeping / lineage marker,Other / unassigned,0.474998143044947,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.1739,0.09864,False
GF_00387,ctaD,cytochrome c oxidase subunit I,YifB family Mg chelatase-like AAA ATPase,Respiration & bioenergetics,Other / unassigned,0.98759465420856,Model-Supported,118.0,0.5151515151515151,Novel/uncertain candidate,False,False,False,False,False,0.1667,0.02502,False
GF_00186,efp,elongation factor P,(S)-8-amino-7-oxononanoate synthase BioU,Other / unassigned,Other / unassigned,0.5206542045506085,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.1351,0.13788,False
GF_01031,,Bax inhibitor-1 family protein,DedA family protein,Other / unassigned,Other / unassigned,0.2407998592712768,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.12,0.20035,False
GF_02131,,zinc-dependent alcohol dehydrogenase,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,Other / unassigned,Other / unassigned,0.8029221473065188,Model-Supported,357.0,0.2703349282296651,Novel/uncertain candidate,False,False,False,False,False,0.1159,0.29523,False
GF_02106,,Npun_R2479 family HD domain-containing metalloprotein,methionine--tRNA ligase,Other / unassigned,Housekeeping / lineage marker,0.5527263691507597,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.1143,0.16866,False
GF_01905,,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein,alpha/beta fold hydrolase,Other / unassigned,Other / unassigned,0.5883618684124435,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.1129,0.26493,False
GF_00688,,RNA recognition motif domain-containing protein,30S ribosomal protein S13,Other / unassigned,Housekeeping / lineage marker,0.3127923189220411,Model-Supported,153.0,0.414274322169059,Housekeeping marker (not a transplant candidate),False,True,True,False,False,0.1019,0.5,False
GF_00646,,DUF433 domain-containing protein,tRNA 2-thiouridine(34) synthase MnmA,Stress / membrane / uncharacterized,Other / unassigned,0.2303649175827085,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0976,0.5,False
GF_00184,uvrB,excinuclease ABC subunit UvrB,hypothetical protein,Other / unassigned,Stress / membrane / uncharacterized,0.2873903526894061,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.097,0.25263,False
GF_00615,,aminodeoxychorismate/anthranilate synthase component II,F0F1 ATP synthase subunit gamma,Other / unassigned,Housekeeping / lineage marker,0.3327931569569928,Model-Supported,268.0,0.3680223285486443,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0968,0.24254,False
GF_02159,,glycosyltransferase family 2 protein,histone deacetylase family protein,Other / unassigned,Other / unassigned,0.2951524984632979,Model-Supported,346.0,0.2149122807017544,Novel/uncertain candidate,False,False,False,False,False,0.0941,0.39068,False
GF_00616,,CPBP family intramembrane glutamic endopeptidase,CpeR family transcriptional regulator,Stress / membrane / uncharacterized,Regulation,0.4596313094859037,Model-Supported,140.0,0.4182615629984051,Novel/uncertain candidate,False,False,False,False,False,0.093,0.5,False
GF_00670,rpsU,30S ribosomal protein S21,LOG family protein,Housekeeping / lineage marker,Other / unassigned,0.8383143637649302,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0918,0.29623,False
GF_01022,,asparagine--tRNA ligase,cell division ATP-binding protein FtsE,Housekeeping / lineage marker,Housekeeping / lineage marker,0.4034318274431743,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0918,0.29623,False
GF_00397,ndk,nucleoside-diphosphate kinase,Uma2 family endonuclease,Other / unassigned,Other / unassigned,0.9468945877751396,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0917,0.31681,False
GF_01922,,(Fe-S)-binding protein,nitrogenase cofactor biosynthesis protein NifB,Metallocluster & Fe-S biogenesis,Nitrogenase / nif machinery,0.3446981272519381,Highly Pure,,,Rediscovery: core diazotrophy/FOX machinery,True,False,False,False,False,0.0909,0.2963,False
GF_01537,,bleomycin hydrolase,GuaB3 family IMP dehydrogenase-related protein,Other / unassigned,Other / unassigned,0.4400513303691709,Model-Supported,77.0,0.3987240829346092,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0909,0.5,False
GF_02157,prfB,peptide chain release factor 2,acetolactate synthase small subunit,Other / unassigned,Other / unassigned,0.4032527233870338,Model-Supported,317.0,0.4661084529505582,Novel/uncertain candidate,False,True,False,False,False,0.0909,0.15204,False
GF_00823,hisB,imidazoleglycerol-phosphate dehydratase HisB,DNA-directed RNA polymerase subunit omega,Other / unassigned,Housekeeping / lineage marker,0.5794639173503259,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0893,0.27048,False
GF_00241,,secondary thiamine-phosphate synthase enzyme YjbQ,alpha-amylase family glycosyl hydrolase,Other / unassigned,Other / unassigned,0.3669176833453335,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0886,0.38268,False
GF_01494,rpsU,30S ribosomal protein S21,ribosome recycling factor,Housekeeping / lineage marker,Other / unassigned,0.2920584917418151,Highly Pure,,,Novel/uncertain candidate,False,True,True,False,False,0.0882,0.37226,False
GF_00172,purB,adenylosuccinate lyase,photosystem I reaction center protein subunit XI,Other / unassigned,Housekeeping / lineage marker,0.2717971426586972,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,True,True,False,False,0.0854,0.38285,False
GF_01909,gvpA,gas vesicle structural protein GvpA,phosphoglucomutase/phosphomannomutase family protein,Other / unassigned,Other / unassigned,0.7311588770707015,Highly Pure,,,Novel/uncertain candidate,False,True,True,False,False,0.084,0.98946,False
GF_00177,ilvD,dihydroxy-acid dehydratase,ABC transporter ATP-binding protein,Other / unassigned,Transport,0.7105652904882727,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.08,0.5,False
GF_00721,,DUF6679 family protein,phosphate-starvation-inducible PsiE family protein,Stress / membrane / uncharacterized,Other / unassigned,0.4167681944652343,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0792,0.5,False
GF_00320,chlG,chlorophyll synthase ChlG,transketolase,Other / unassigned,Other / unassigned,0.4485969495796436,Model-Supported,141.0,0.5657894736842105,Novel/uncertain candidate,False,True,True,False,False,0.0787,0.5,False
GF_00364,,adenylosuccinate synthase,dihydroorotase,Other / unassigned,Other / unassigned,0.2092586005297414,Model-Supported,255.0,0.2870813397129186,Novel/uncertain candidate,False,True,True,False,False,0.0758,0.5,False
GF_00209,proS,proline--tRNA ligase,DNA repair protein RecN,Housekeeping / lineage marker,Other / unassigned,0.7336710280921743,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0741,0.64206,False
GF_01682,hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase,Other / unassigned,Carbon metabolism & NAD(P)H supply,0.3060761328510867,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0735,0.5,False
GF_01816,cysK,cysteine synthase A,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit K,Other / unassigned,Respiration & bioenergetics,0.276189089158029,Model-Supported,68.0,0.6614832535885167,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0727,0.64176,False
GF_00656,,DUF433 domain-containing protein,signal peptidase I,Stress / membrane / uncharacterized,Stress / membrane / uncharacterized,0.8387057912658834,Highly Pure,,,Novel/uncertain candidate,False,True,True,False,False,0.0714,0.64176,False
GF_00542,cas2,CRISPR-associated endonuclease Cas2,signal peptidase II,Other / unassigned,Stress / membrane / uncharacterized,0.7306864806172615,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0707,0.60856,False
GF_00274,apcB,allophycocyanin subunit beta,HAD family hydrolase,Other / unassigned,Other / unassigned,0.5875533481156157,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0707,0.5,False
GF_01907,,DUF3285 domain-containing protein,potassium-transporting ATPase subunit KdpB,Stress / membrane / uncharacterized,Transport,0.180736751184125,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0702,0.64176,False
GF_01902,,fasciclin domain-containing protein,sodium-dependent bicarbonate transport family permease,Other / unassigned,Transport,0.3739480200246672,Model-Supported,222.0,0.5809409888357256,Novel/uncertain candidate,False,False,False,False,False,0.0694,0.62729,False
GF_00104,typA,translational GTPase TypA,15-cis-phytoene desaturase,Other / unassigned,Other / unassigned,0.296401765175392,Model-Supported,142.0,0.6008771929824561,Novel/uncertain candidate,False,False,False,False,False,0.0692,0.5,False
GF_00237,petG,cytochrome b6-f complex subunit V,TolB family protein,Respiration & bioenergetics,Other / unassigned,0.4561987105494716,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.069,0.5,False
GF_00454,,Uma2 family endonuclease,fatty acid desaturase,Other / unassigned,Other / unassigned,0.6927072812694411,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0682,0.78133,False
GF_02178,,Lin0512 family protein,DNA topoisomerase (ATP-hydrolyzing) subunit B,Other / unassigned,Housekeeping / lineage marker,0.5029499253289632,Model-Supported,146.0,0.6084529505582137,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0667,0.6415,False
GF_00580,,ferredoxin thioredoxin reductase catalytic beta subunit,Na(+)/H(+) antiporter subunit B,O2 protection & redox homeostasis,Other / unassigned,0.4278807206898407,Model-Supported,48.0,0.7117224880382775,Novel/uncertain candidate,False,False,False,False,False,0.0667,0.6084,False
GF_01606,,Fur family transcriptional regulator,RNA polymerase sigma factor SigF,Regulation,Housekeeping / lineage marker,0.8623380728924922,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0654,0.60833,False
GF_00396,clpS,ATP-dependent Clp protease adapter ClpS,CO2 hydration protein,Other / unassigned,Other / unassigned,0.3369595865142422,Model-Supported,96.0,0.7496012759170654,Novel/uncertain candidate,False,False,False,False,False,0.0652,0.61665,False
GF_01650,,response regulator,hypothetical protein,Regulation,Stress / membrane / uncharacterized,0.3401445739060049,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0652,0.66124,False
GF_00217,,ABC transporter ATP-binding protein,heat-inducible transcriptional repressor HrcA,Transport,Regulation,0.4616038264082002,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0645,0.61661,False
GF_00221,folE,GTP cyclohydrolase I FolE,DNA double-strand break repair nuclease NurA,Other / unassigned,Other / unassigned,0.3018859437496705,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0635,0.64118,False
GF_00993,,methionine gamma-lyase family protein,MarR family winged helix-turn-helix transcriptional regulator,Other / unassigned,Regulation,0.3017851950400796,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0625,0.62707,False
GF_00218,,phosphoglycerate kinase,hypothetical protein,Other / unassigned,Stress / membrane / uncharacterized,0.37376083699573,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0621,0.59096,False
GF_00224,aroC,chorismate synthase,cytochrome c biogenesis protein,Other / unassigned,Respiration & bioenergetics,0.7462746291813473,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.062,0.64448,False
GF_00451,ahcY,adenosylhomocysteinase,orotidine-5'-phosphate decarboxylase,Other / unassigned,Other / unassigned,0.6166161309627999,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0616,0.68188,False
