gene_family,importance
GF_01386,0.07995414
GF_01426,0.0630099
GF_01337,0.055803396
GF_02071,0.049283616
GF_00605,0.043363728
GF_01027,0.035424046
GF_00406,0.022880252
GF_00622,0.01992145
GF_00080,0.019592995
GF_02222,0.015913796
GF_00887,0.013171576
GF_00437,0.012646588
GF_01834,0.011762174
GF_02141,0.011132874
GF_01328,0.010836241
GF_00547,0.00884396
GF_01860,0.008651869
GF_01783,0.008538986
GF_00013,0.008176172
GF_00300,0.0077429204
GF_01542,0.00759207
GF_00771,0.007339367
GF_00330,0.0064926283
GF_00773,0.006462355
GF_01383,0.00600384
GF_01550,0.005935964
GF_00235,0.005853464
GF_00164,0.0055246474
GF_00115,0.00544111
GF_00931,0.0051206206
GF_01543,0.005040025
GF_00856,0.0050162836
GF_00776,0.004855084
GF_01763,0.004693524
GF_01733,0.0046150386
GF_00971,0.0045450404
GF_01246,0.004177801
GF_01637,0.004168569
GF_00125,0.0041125817
GF_01819,0.003968239
GF_01580,0.0038247008
GF_00608,0.0037963013
GF_00011,0.0037890326
GF_00352,0.0037806977
GF_00968,0.0036807563
GF_00348,0.0036627348
GF_00524,0.0036115707
GF_00082,0.003586817
GF_00077,0.003495441
GF_02180,0.003490926
GF_00455,0.003433705
GF_01248,0.003351387
GF_00604,0.0033371237
GF_02088,0.0033172495
GF_00251,0.0032409232
GF_00044,0.0032183877
GF_01691,0.003195898
GF_00402,0.0031195227
GF_00315,0.0030060739
GF_00400,0.0029151659
GF_01584,0.002897848
GF_01230,0.0028939976
GF_02139,0.0028432377
GF_00343,0.0027915356
GF_00429,0.0027591293
GF_00530,0.002699874
GF_01659,0.0026720196
GF_01816,0.002651982
GF_00724,0.0026263937
GF_01476,0.0026201275
GF_01399,0.002576618
GF_00335,0.002553692
GF_00819,0.002549911
GF_01592,0.0024964293
GF_00340,0.0024758186
GF_01811,0.00245685
GF_00565,0.0024327124
GF_00317,0.0023807348
GF_01376,0.0023791124
GF_02093,0.0023376322
GF_00083,0.002331248
GF_01841,0.0023279837
GF_00085,0.002298277
GF_00611,0.002290509
GF_01623,0.0022762124
GF_00603,0.0022286135
GF_01400,0.0022228272
GF_01480,0.0021828697
GF_02260,0.0021817754
GF_01331,0.0021635036
GF_00687,0.0021618796
GF_01244,0.00216084
GF_00107,0.002153652
GF_02072,0.0021164096
GF_00012,0.002078526
GF_00617,0.0020658057
GF_00477,0.0020495118
GF_00329,0.002020721
GF_00982,0.0020045403
GF_01547,0.0020014076
GF_00796,0.0019965426
GF_00538,0.0019962653
GF_01391,0.001981935
GF_00424,0.0019803955
GF_01734,0.001962814
GF_00175,0.0019583753
GF_00728,0.0018861821
GF_01232,0.0018404715
GF_02216,0.0018215685
GF_00422,0.0018209824
GF_00736,0.0018202642
GF_01539,0.001819122
GF_00536,0.0018089477
GF_01617,0.0018006072
GF_00595,0.00179234
GF_01549,0.0017616149
GF_00761,0.0016859683
GF_00079,0.0016750852
GF_02142,0.0016620537
GF_00363,0.001655994
GF_02075,0.0016531365
GF_01054,0.0016469285
GF_00048,0.0016267563
GF_00084,0.0016137296
GF_01628,0.0015597309
GF_00339,0.001556487
GF_00043,0.0015491262
GF_02145,0.0015067018
GF_00296,0.0014869481
GF_00047,0.0014575471
GF_01626,0.0014342524
GF_00740,0.0013937533
GF_00094,0.0013851507
GF_00523,0.0013722662
GF_00302,0.0013615165
GF_01382,0.0013586339
GF_00122,0.0013566606
GF_00344,0.0013528137
GF_00618,0.0013447895
GF_00957,0.0013320909
GF_00320,0.0013241393
GF_00313,0.0013198361
GF_01332,0.0013060436
GF_02109,0.0013033847
GF_01685,0.0013021575
GF_01504,0.001287353
GF_02059,0.0012838619
GF_01327,0.0012739205
GF_01477,0.0012735247
GF_00014,0.0012601626
GF_01736,0.0012551023
GF_01462,0.0012539633
GF_01625,0.0012539424
GF_01638,0.0012281565
GF_00959,0.0012239863
GF_02158,0.0012223674
GF_01742,0.0012161315
GF_00580,0.0012090495
GF_00170,0.0012026189
GF_00436,0.0011919749
GF_01904,0.0011902748
GF_01234,0.0011670098
GF_01815,0.0011644622
GF_00828,0.0011536033
GF_00756,0.0011448157
GF_00600,0.0011420061
GF_02262,0.0011318588
GF_00599,0.00113167
GF_00314,0.0011213147
GF_02069,0.0011152271
GF_02224,0.0011119075
GF_01618,0.0011052031
GF_01591,0.001099613
GF_00414,0.0010816383
GF_00658,0.0010724512
GF_00744,0.0010691017
GF_00546,0.0010539072
GF_00661,0.0010483329
GF_01541,0.0010193776
GF_02089,0.0010114212
GF_02152,0.0010032692
GF_01456,0.0010013551
GF_01929,0.0010011347
GF_00725,0.0010010309
GF_00866,0.0009959042
GF_00386,0.000990671
GF_01619,0.0009767272
GF_00415,0.0009697005
GF_01425,0.0009694629
GF_00124,0.0009510006
GF_01239,0.0009483133
GF_00857,0.0009248997
GF_01689,0.000923054
GF_01512,0.00092094316
GF_00503,0.0009195392
GF_00643,0.00091646815
GF_01245,0.0009002111
GF_00570,0.00089926476
GF_02218,0.0008988356
GF_00681,0.0008978962
GF_01921,0.0008883203
GF_01381,0.0008838953
GF_01818,0.0008835259
GF_02140,0.0008748217
GF_00316,0.0008578749
GF_00113,0.00085447927
GF_00403,0.0008505415
GF_00387,0.00084315566
GF_00120,0.0008391805
GF_01636,0.0008391758
GF_00326,0.00083857606
GF_00391,0.0008357017
GF_00081,0.0008294185
GF_01514,0.00082686404
GF_00185,0.00082599104
GF_00623,0.00082161016
GF_01741,0.00080681825
GF_00018,0.00080358936
GF_01379,0.00080302265
GF_00642,0.00079291844
GF_00488,0.00079098454
GF_01930,0.0007874366
GF_00323,0.0007850296
GF_02130,0.00078440085
GF_02143,0.0007827653
GF_00104,0.0007805553
GF_02261,0.0007771194
GF_00874,0.00077139103
GF_02172,0.00076581846
GF_00471,0.0007637446
GF_02264,0.00074636587
GF_00432,0.00074552104
GF_01927,0.0007437188
GF_02263,0.0007235786
GF_00327,0.0007186838
GF_01836,0.00071576145
GF_02226,0.0007137468
GF_00179,0.0007094528
