gene_family,total_genomes,diazotroph_count,diazotroph_pct,is_pure
GF_00000,125,0,0.0,True
GF_00001,48,47,0.9791666666666666,True
GF_00002,89,77,0.8651685393258427,False
GF_00003,44,43,0.9772727272727273,True
GF_00004,41,41,1.0,True
GF_00005,40,40,1.0,True
GF_00006,49,49,1.0,True
GF_00007,55,54,0.9818181818181818,True
GF_00008,55,8,0.14545454545454545,False
GF_00009,64,2,0.03125,True
GF_00010,44,1,0.022727272727272728,True
GF_00011,58,8,0.13793103448275862,False
GF_00012,41,6,0.14634146341463414,False
GF_00013,44,11,0.25,False
GF_00014,53,10,0.18867924528301888,False
GF_00015,174,88,0.5057471264367817,False
GF_00016,40,3,0.075,True
GF_00017,269,108,0.40148698884758366,False
GF_00018,68,37,0.5441176470588235,False
GF_00019,41,0,0.0,True
GF_00020,131,0,0.0,True
GF_00021,89,0,0.0,True
GF_00022,71,0,0.0,True
GF_00023,144,0,0.0,True
GF_00024,103,0,0.0,True
GF_00025,109,0,0.0,True
GF_00026,59,0,0.0,True
GF_00027,45,0,0.0,True
GF_00028,71,0,0.0,True
GF_00029,53,0,0.0,True
GF_00030,70,0,0.0,True
GF_00031,45,0,0.0,True
GF_00032,40,0,0.0,True
GF_00033,70,0,0.0,True
GF_00034,111,0,0.0,True
GF_00035,159,2,0.012578616352201259,True
GF_00036,94,72,0.7659574468085106,False
GF_00037,98,0,0.0,True
GF_00038,87,0,0.0,True
GF_00039,69,0,0.0,True
GF_00040,105,0,0.0,True
GF_00041,76,0,0.0,True
GF_00042,42,0,0.0,True
GF_00043,260,109,0.41923076923076924,False
GF_00044,44,16,0.36363636363636365,False
GF_00045,144,10,0.06944444444444445,True
GF_00046,129,80,0.6201550387596899,False
GF_00047,229,106,0.462882096069869,False
GF_00048,99,72,0.7272727272727273,False
GF_00049,96,58,0.6041666666666666,False
GF_00050,55,51,0.9272727272727272,True
GF_00051,264,108,0.4090909090909091,False
GF_00052,47,12,0.2553191489361702,False
GF_00053,42,0,0.0,True
GF_00054,51,0,0.0,True
GF_00055,53,0,0.0,True
GF_00056,99,0,0.0,True
GF_00057,46,0,0.0,True
GF_00058,42,0,0.0,True
GF_00059,108,0,0.0,True
GF_00060,48,0,0.0,True
GF_00061,49,0,0.0,True
GF_00062,43,0,0.0,True
GF_00063,148,0,0.0,True
GF_00064,89,0,0.0,True
GF_00065,51,0,0.0,True
GF_00066,150,0,0.0,True
GF_00067,153,0,0.0,True
GF_00068,153,0,0.0,True
GF_00069,53,0,0.0,True
GF_00070,95,0,0.0,True
GF_00071,50,7,0.14,False
GF_00072,256,107,0.41796875,False
GF_00073,50,11,0.22,False
GF_00074,51,8,0.1568627450980392,False
GF_00075,42,17,0.40476190476190477,False
GF_00076,54,6,0.1111111111111111,False
GF_00077,56,13,0.23214285714285715,False
GF_00078,67,13,0.19402985074626866,False
GF_00079,84,23,0.27380952380952384,False
GF_00080,98,83,0.8469387755102041,False
GF_00081,161,80,0.4968944099378882,False
GF_00082,50,14,0.28,False
GF_00083,45,14,0.3111111111111111,False
GF_00084,61,13,0.21311475409836064,False
GF_00085,81,25,0.30864197530864196,False
GF_00086,66,63,0.9545454545454546,True
GF_00087,425,112,0.2635294117647059,False
GF_00088,271,110,0.4059040590405904,False
GF_00089,153,0,0.0,True
GF_00090,52,0,0.0,True
GF_00091,43,0,0.0,True
GF_00092,153,0,0.0,True
GF_00093,239,105,0.4393305439330544,False
GF_00094,212,98,0.46226415094339623,False
GF_00095,52,51,0.9807692307692307,True
GF_00096,68,67,0.9852941176470589,True
GF_00097,52,51,0.9807692307692307,True
GF_00098,54,53,0.9814814814814815,True
GF_00099,40,40,1.0,True
GF_00100,47,46,0.9787234042553191,True
GF_00101,65,64,0.9846153846153847,True
GF_00102,46,45,0.9782608695652174,True
GF_00103,44,44,1.0,True
GF_00104,109,38,0.3486238532110092,False
GF_00105,46,10,0.21739130434782608,False
GF_00106,41,7,0.17073170731707318,False
GF_00107,69,16,0.2318840579710145,False
GF_00108,47,10,0.2127659574468085,False
GF_00109,50,7,0.14,False
GF_00110,40,4,0.1,False
GF_00111,55,11,0.2,False
GF_00112,130,62,0.47692307692307695,False
GF_00113,58,8,0.13793103448275862,False
GF_00114,56,12,0.21428571428571427,False
GF_00115,77,18,0.23376623376623376,False
GF_00116,59,10,0.1694915254237288,False
GF_00117,50,8,0.16,False
GF_00118,46,3,0.06521739130434782,True
GF_00119,58,5,0.08620689655172414,True
GF_00120,68,16,0.23529411764705882,False
GF_00121,55,10,0.18181818181818182,False
GF_00122,159,88,0.5534591194968553,False
GF_00123,55,12,0.21818181818181817,False
GF_00124,191,94,0.49214659685863876,False
GF_00125,42,13,0.30952380952380953,False
GF_00126,47,0,0.0,True
GF_00127,53,0,0.0,True
GF_00128,77,0,0.0,True
GF_00129,40,0,0.0,True
GF_00130,69,0,0.0,True
GF_00131,58,0,0.0,True
GF_00132,76,0,0.0,True
GF_00133,74,0,0.0,True
GF_00134,82,0,0.0,True
