gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00000,125,125,0,125,4,0.0
GF_00001,48,48,47,1,11,0.9791666666666666
GF_00002,89,89,77,12,29,0.8651685393258427
GF_00003,44,44,43,1,8,0.9772727272727273
GF_00004,41,41,41,0,8,1.0
GF_00005,40,40,40,0,10,1.0
GF_00006,49,49,49,0,11,1.0
GF_00007,55,55,54,1,14,0.9818181818181818
GF_00008,55,55,8,47,9,0.14545454545454545
GF_00009,64,64,2,62,6,0.03125
GF_00010,44,44,1,43,3,0.022727272727272728
GF_00011,58,58,8,50,15,0.13793103448275862
GF_00012,41,41,6,35,7,0.14634146341463414
GF_00013,44,44,11,33,12,0.25
GF_00014,53,53,10,43,7,0.18867924528301888
GF_00015,174,174,88,86,52,0.5057471264367817
GF_00016,40,40,3,37,7,0.075
GF_00017,269,269,108,161,72,0.40148698884758366
GF_00018,68,68,37,31,19,0.5441176470588235
GF_00019,41,41,0,41,2,0.0
GF_00020,131,131,0,131,4,0.0
GF_00021,89,89,0,89,4,0.0
GF_00022,71,71,0,71,3,0.0
GF_00023,144,144,0,144,4,0.0
GF_00024,103,103,0,103,4,0.0
GF_00025,109,109,0,109,4,0.0
GF_00026,59,59,0,59,2,0.0
GF_00027,45,45,0,45,2,0.0
GF_00028,71,71,0,71,4,0.0
GF_00029,53,53,0,53,2,0.0
GF_00030,70,70,0,70,3,0.0
GF_00031,45,45,0,45,2,0.0
GF_00032,41,40,0,41,2,0.0
GF_00033,70,70,0,70,3,0.0
GF_00034,111,111,0,111,4,0.0
GF_00035,159,159,2,157,6,0.012578616352201259
GF_00036,94,94,72,22,27,0.7659574468085106
GF_00037,98,98,0,98,4,0.0
GF_00038,87,87,0,87,4,0.0
GF_00039,69,69,0,69,3,0.0
GF_00040,107,105,0,107,3,0.0
GF_00041,76,76,0,76,2,0.0
GF_00042,42,42,0,42,2,0.0
GF_00043,260,260,109,151,67,0.41923076923076924
GF_00044,47,44,18,29,21,0.3829787234042553
GF_00045,144,144,10,134,15,0.06944444444444445
GF_00046,129,129,80,49,39,0.6201550387596899
GF_00047,229,229,106,123,60,0.462882096069869
GF_00048,99,99,72,27,37,0.7272727272727273
GF_00049,100,96,62,38,28,0.62
GF_00050,55,55,51,4,18,0.9272727272727272
GF_00051,264,264,108,156,69,0.4090909090909091
GF_00052,47,47,12,35,12,0.2553191489361702
GF_00053,42,42,0,42,2,0.0
GF_00054,51,51,0,51,2,0.0
GF_00055,53,53,0,53,2,0.0
GF_00056,99,99,0,99,4,0.0
GF_00057,46,46,0,46,2,0.0
GF_00058,42,42,0,42,2,0.0
GF_00059,108,108,0,108,4,0.0
GF_00060,48,48,0,48,2,0.0
GF_00061,49,49,0,49,1,0.0
GF_00062,43,43,0,43,2,0.0
GF_00063,148,148,0,148,4,0.0
GF_00064,89,89,0,89,2,0.0
GF_00065,51,51,0,51,2,0.0
GF_00066,150,150,0,150,4,0.0
GF_00067,153,153,0,153,4,0.0
GF_00068,153,153,0,153,4,0.0
GF_00069,53,53,0,53,3,0.0
GF_00070,95,95,0,95,4,0.0
GF_00071,50,50,7,43,6,0.14
GF_00072,256,256,107,149,68,0.41796875
GF_00073,50,50,11,39,10,0.22
GF_00074,51,51,8,43,7,0.1568627450980392
GF_00075,42,42,17,25,16,0.40476190476190477
GF_00076,54,54,6,48,8,0.1111111111111111
GF_00077,56,56,13,43,9,0.23214285714285715
GF_00078,67,67,13,54,14,0.19402985074626866
GF_00079,84,84,23,61,22,0.27380952380952384
GF_00080,99,98,84,15,35,0.8484848484848485
GF_00081,161,161,80,81,50,0.4968944099378882
GF_00082,50,50,14,36,11,0.28
GF_00083,45,45,14,31,13,0.3111111111111111
GF_00084,61,61,13,48,18,0.21311475409836064
GF_00085,81,81,25,56,29,0.30864197530864196
GF_00086,66,66,63,3,22,0.9545454545454546
GF_00087,425,425,112,313,75,0.2635294117647059
GF_00088,274,271,110,164,72,0.40145985401459855
GF_00089,153,153,0,153,4,0.0
GF_00090,52,52,0,52,2,0.0
GF_00091,53,43,0,53,1,0.0
GF_00092,153,153,0,153,4,0.0
GF_00093,239,239,105,134,67,0.4393305439330544
GF_00094,216,212,98,118,59,0.4537037037037037
GF_00095,52,52,51,1,11,0.9807692307692307
GF_00096,68,68,67,1,17,0.9852941176470589
GF_00097,52,52,51,1,12,0.9807692307692307
GF_00098,54,54,53,1,15,0.9814814814814815
GF_00099,40,40,40,0,8,1.0
GF_00100,47,47,46,1,11,0.9787234042553191
GF_00101,65,65,64,1,16,0.9846153846153847
GF_00102,46,46,45,1,12,0.9782608695652174
GF_00103,44,44,44,0,10,1.0
GF_00104,109,109,38,71,35,0.3486238532110092
GF_00105,46,46,10,36,11,0.21739130434782608
GF_00106,45,41,7,38,8,0.15555555555555556
GF_00107,69,69,16,53,14,0.2318840579710145
GF_00108,47,47,10,37,11,0.2127659574468085
GF_00109,50,50,7,43,7,0.14
GF_00110,40,40,4,36,7,0.1
GF_00111,55,55,11,44,9,0.2
GF_00112,130,130,62,68,39,0.47692307692307695
GF_00113,58,58,8,50,10,0.13793103448275862
GF_00114,56,56,12,44,11,0.21428571428571427
GF_00115,77,77,18,59,12,0.23376623376623376
GF_00116,59,59,10,49,11,0.1694915254237288
GF_00117,50,50,8,42,8,0.16
GF_00118,46,46,3,43,3,0.06521739130434782
GF_00119,58,58,5,53,7,0.08620689655172414
GF_00120,68,68,16,52,20,0.23529411764705882
GF_00121,55,55,10,45,9,0.18181818181818182
GF_00122,159,159,88,71,55,0.5534591194968553
GF_00123,55,55,12,43,8,0.21818181818181817
GF_00124,191,191,94,97,60,0.49214659685863876
GF_00125,42,42,13,29,10,0.30952380952380953
GF_00126,47,47,0,47,2,0.0
GF_00127,53,53,0,53,2,0.0
GF_00128,77,77,0,77,3,0.0
GF_00129,40,40,0,40,2,0.0
GF_00130,69,69,0,69,3,0.0
GF_00131,58,58,0,58,4,0.0
GF_00132,81,76,0,81,4,0.0
GF_00133,80,74,0,80,3,0.0
GF_00134,82,82,0,82,4,0.0
GF_00135,149,149,0,149,4,0.0
GF_00136,238,238,101,137,68,0.42436974789915966
GF_00137,73,73,13,60,13,0.1780821917808219
GF_00138,68,68,12,56,16,0.17647058823529413
GF_00139,62,62,9,53,9,0.14516129032258066
GF_00140,46,46,46,0,14,1.0
GF_00141,51,51,14,37,13,0.27450980392156865
GF_00142,46,46,6,40,5,0.13043478260869565
GF_00143,263,263,109,154,68,0.4144486692015209
GF_00144,81,81,0,81,3,0.0
GF_00145,153,153,0,153,4,0.0
GF_00146,79,77,0,79,4,0.0
GF_00147,107,107,0,107,4,0.0
GF_00148,45,45,0,45,3,0.0
GF_00149,43,43,0,43,2,0.0
GF_00150,151,151,0,151,4,0.0
GF_00151,101,101,0,101,4,0.0
GF_00152,81,81,0,81,3,0.0
GF_00153,51,51,0,51,2,0.0
GF_00154,72,72,0,72,3,0.0
GF_00155,92,92,60,32,29,0.6521739130434783
GF_00156,44,44,43,1,15,0.9772727272727273
GF_00157,57,57,56,1,13,0.9824561403508771
GF_00158,42,42,41,1,10,0.9761904761904762
GF_00159,57,57,57,0,16,1.0
GF_00160,54,54,53,1,13,0.9814814814814815
GF_00161,51,51,50,1,13,0.9803921568627451
GF_00162,61,61,60,1,15,0.9836065573770492
GF_00163,56,56,55,1,13,0.9821428571428571
GF_00164,191,188,106,85,61,0.5549738219895288
GF_00165,45,45,45,0,11,1.0
GF_00166,52,52,52,0,12,1.0
GF_00167,44,44,43,1,11,0.9772727272727273
GF_00168,139,76,139,0,22,1.0
GF_00169,63,63,62,1,17,0.9841269841269841
GF_00170,47,47,38,9,21,0.8085106382978723
GF_00171,40,40,40,0,8,1.0
GF_00172,51,51,51,0,13,1.0
GF_00173,61,55,60,1,13,0.9836065573770492
GF_00174,56,56,55,1,15,0.9821428571428571
GF_00175,47,46,30,17,18,0.6382978723404256
GF_00176,42,42,41,1,9,0.9761904761904762
GF_00177,41,41,40,1,9,0.975609756097561
GF_00178,368,368,108,260,72,0.29347826086956524
GF_00179,57,57,12,45,11,0.21052631578947367
GF_00180,75,75,16,59,17,0.21333333333333335
GF_00181,46,46,3,43,4,0.06521739130434782
GF_00182,67,67,66,1,17,0.9850746268656716
GF_00183,57,57,56,1,15,0.9824561403508771
GF_00184,57,57,56,1,13,0.9824561403508771
GF_00185,75,75,62,13,27,0.8266666666666667
GF_00186,65,65,63,2,17,0.9692307692307692
GF_00187,63,63,0,63,3,0.0
GF_00188,67,67,0,67,4,0.0
GF_00189,73,73,0,73,3,0.0
GF_00190,106,103,0,106,4,0.0
GF_00191,126,126,0,126,4,0.0
GF_00192,100,99,0,100,4,0.0
GF_00193,153,153,0,153,4,0.0
GF_00194,151,151,0,151,4,0.0
GF_00195,95,95,0,95,4,0.0
GF_00196,52,52,0,52,3,0.0
GF_00197,153,153,0,153,4,0.0
GF_00198,100,100,0,100,4,0.0
GF_00199,107,107,0,107,4,0.0
GF_00200,58,58,57,1,16,0.9827586206896551
GF_00201,69,69,66,3,20,0.9565217391304348
GF_00202,55,55,54,1,14,0.9818181818181818
GF_00203,40,40,39,1,14,0.975
GF_00204,51,51,51,0,13,1.0
GF_00205,63,63,59,4,18,0.9365079365079365
GF_00206,58,58,57,1,14,0.9827586206896551
GF_00207,47,47,46,1,10,0.9787234042553191
GF_00208,55,55,49,6,15,0.8909090909090909
GF_00209,47,47,47,0,12,1.0
GF_00210,44,44,44,0,10,1.0
GF_00211,40,40,40,0,9,1.0
GF_00212,41,41,41,0,8,1.0
GF_00213,53,53,52,1,13,0.9811320754716981
GF_00214,66,66,63,3,19,0.9545454545454546
GF_00215,49,49,49,0,13,1.0
GF_00216,43,43,43,0,10,1.0
GF_00217,58,58,57,1,15,0.9827586206896551
GF_00218,54,54,53,1,14,0.9814814814814815
GF_00219,59,59,56,3,15,0.9491525423728814
GF_00220,52,52,28,24,19,0.5384615384615384
GF_00221,43,43,42,1,13,0.9767441860465116
GF_00222,42,42,42,0,10,1.0
GF_00223,51,51,51,0,12,1.0
GF_00224,42,42,42,0,9,1.0
GF_00225,71,71,68,3,20,0.9577464788732394
GF_00226,40,40,40,0,8,1.0
GF_00227,48,48,48,0,12,1.0
GF_00228,60,60,10,50,11,0.16666666666666666
GF_00229,66,66,32,34,21,0.48484848484848486
GF_00230,70,70,68,2,19,0.9714285714285714
GF_00231,68,68,67,1,17,0.9852941176470589
GF_00232,44,44,44,0,10,1.0
GF_00233,43,43,43,0,10,1.0
GF_00234,61,61,60,1,15,0.9836065573770492
GF_00235,94,78,84,10,27,0.8936170212765957
GF_00236,43,43,43,0,11,1.0
GF_00237,41,41,41,0,9,1.0
GF_00238,71,71,68,3,20,0.9577464788732394
GF_00239,58,58,57,1,15,0.9827586206896551
GF_00240,75,75,72,3,24,0.96
GF_00241,42,42,42,0,10,1.0
GF_00242,57,57,56,1,15,0.9824561403508771
