gene_family	condensate_mapped_rows	condensate_best_score	condensate_mean_score	condensate_median_score	condensate_best_rank_cyano	condensate_training_positive_rows	condensate_withheld_rows	condensate_label_names	condensate_label_sources	condensate_best_products	condensate_best_organisms	condensate_mapping_methods	condensate_mapping_conflict_rows	condensate_family_rank	condensate_family_percentile	candidate_set	product	module_bin	fox_status	consensus_rank_pct_mean	diazotroph_pct_mean	primary_bridge_broad_ge1u_ge1f	strict_unicellular_breadth_ge3u_ge1f	is_model_supported	is_highly_pure	is_candidate_inventory	top_1pct	top_5pct	top_10pct	top_20pct
GF_01666	1	0.9999876373888892	0.9999876373888892	0.9999876373888892	4	0	0			cell division protein FtsZ	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	1	0.0007627765064836003	Highly Pure	cell division protein FtsZ	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)		0.9852941176470588	False	False	False	True	True	True	True	True	True
GF_02096	1	0.9999876309105368	0.9999876309105368	0.9999876309105368	6	0	0			single-stranded DNA-binding protein	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	2	0.0015255530129672007	Highly Pure	single-stranded DNA-binding protein	Other / unassigned	Novel/uncertain candidate		0.9761904761904762	False	False	False	True	True	True	True	True	True
GF_00171	1	0.9999321901130466	0.9999321901130466	0.9999321901130466	21	0	0			Rne/Rng family ribonuclease	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	3	0.002288329519450801	Highly Pure	Rne/Rng family ribonuclease	Other / unassigned	Novel/uncertain candidate		1.0	False	False	False	True	True	True	True	True	True
GF_01817	1	0.9970681262382828	0.9970681262382828	0.9970681262382828	41	0	0			chaperonin GroEL	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	4	0.0030511060259344014	Highly Pure	chaperonin GroEL	Other / unassigned	Novel/uncertain candidate		0.92	False	False	False	True	True	True	True	True	True
GF_00664	1	0.9737098246183724	0.9737098246183724	0.9737098246183724	84	0	0			cell division protein SepF	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	5	0.0038138825324180014	Highly Pure	cell division protein SepF	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)		0.9833333333333332	False	False	False	True	True	True	True	True	True
GF_01397	1	0.9541773032773008	0.9541773032773008	0.9541773032773008	113	0	0			form I ribulose bisphosphate carboxylase large subunit	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	6	0.004576659038901602	Model-Supported	form I ribulose bisphosphate carboxylase large subunit	Other / unassigned	Novel/uncertain candidate	0.2188995215311004	0.3939393939393939	True	True	True	False	True	True	True	True	True
GF_01614	1	0.9509553981332384	0.9509553981332384	0.9509553981332384	120	0	0			translation initiation factor IF-2	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	7	0.005339435545385202	Highly Pure	translation initiation factor IF-2	Other / unassigned	Novel/uncertain candidate		1.0	False	False	False	True	True	True	True	True	True
GF_01799	1	0.9080681379072406	0.9080681379072406	0.9080681379072406	152	0	0			chaperonin GroEL	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	8	0.006102212051868803	Model-Supported	chaperonin GroEL	Other / unassigned	Novel/uncertain candidate	0.3438995215311005	0.2660332541567696	True	True	True	False	True	True	True	True	True
GF_00327	1	0.8907278285845632	0.8907278285845632	0.8907278285845632	166	0	0			recombinase RecA	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	9	0.006864988558352402	Not in candidate inventory								False	False	False	True	True	True	True
GF_00795	7	0.8599500514451438	0.39927383697967456	0.5963854909345372	183	0	0			photosystem I reaction center subunit IV	Microcystis aeruginosa NIES-843; Nostoc punctiforme PCC 73102; Nostoc sp. PCC 7120; Synechococcus elongatus PCC 7942; Synechocystis sp. PCC 6803; Thermosynechococcus elongatus BP-1	cluster_id_to_GF; uniprot_id_to_GF	0	10	0.007627765064836003	Highly Pure	photosystem I reaction center subunit IV	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)		0.9848484848484848	False	False	False	True	True	True	True	True	True
GF_00492	1	0.8160263324147595	0.8160263324147595	0.8160263324147595	204	0	0				Nostoc sp. PCC 7120	uniprot_id_to_GF	0	11	0.008390541571319604	Highly Pure	hypothetical protein	Stress / membrane / uncharacterized	Novel/uncertain candidate		0.9454545454545454	False	False	False	True	True	True	True	True	True
GF_00449	4	0.7888287741466034	0.40483787683470523	0.4032766074415528	216	0	0			RNA recognition motif domain-containing protein	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	12	0.009153318077803204	Highly Pure	RNA recognition motif domain-containing protein	Other / unassigned	Novel/uncertain candidate		0.9565217391304348	True	False	False	True	True	True	True	True	True
GF_00614	1	0.7058711675965236	0.7058711675965236	0.7058711675965236	237	0	0			molecular chaperone DnaK	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	13	0.009916094584286803	Model-Supported	molecular chaperone DnaK	Other / unassigned	Novel/uncertain candidate	0.2368421052631578	0.4128787878787879	True	True	True	False	True	True	True	True	True
GF_00652	1	0.6470004356499709	0.6470004356499709	0.6470004356499709	252	0	0			molecular chaperone DnaK	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	14	0.010678871090770405	Highly Pure	molecular chaperone DnaK	Other / unassigned	Novel/uncertain candidate		0.9848484848484848	False	False	False	True	True	False	True	True	True
GF_01861	1	0.5194698589112278	0.5194698589112278	0.5194698589112278	277	0	0			CsbD family protein	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	15	0.011441647597254004	Highly Pure	CsbD family protein	Other / unassigned	Novel/uncertain candidate		0.9636363636363636	True	False	False	True	True	False	True	True	True
GF_00688	1	0.4793662456976869	0.4793662456976869	0.4793662456976869	287	0	0			30S ribosomal protein S13	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	16	0.012204424103737605	Model-Supported	30S ribosomal protein S13	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)	0.414274322169059	0.4057377049180328	True	True	True	False	True	False	True	True	True
GF_00916	1	0.3963660051316071	0.3963660051316071	0.3963660051316071	310	0	0			NAD(P)H-quinone oxidoreductase subunit H	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	17	0.012967200610221205	Model-Supported	NAD(P)H-quinone oxidoreductase subunit H	Other / unassigned	Novel/uncertain candidate	0.492822966507177	0.4380165289256198	True	True	True	False	True	False	True	True	True
GF_00659	1	0.34753815249204	0.34753815249204	0.34753815249204	326	0	0			DUF4912 domain-containing protein	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	18	0.013729977116704805	Model-Supported	DUF4912 domain-containing protein	Stress / membrane / uncharacterized	Novel/uncertain candidate	0.3931419457735247	0.8987341772151899	True	False	True	False	True	False	True	True	True
GF_00393	1	0.3083456544490275	0.3083456544490275	0.3083456544490275	335	0	0			DNA-directed RNA polymerase subunit beta	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	19	0.014492753623188406	Model-Supported	DNA-directed RNA polymerase subunit beta	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)	0.4497607655502392	0.4163568773234201	True	True	True	False	True	False	True	True	True
GF_00588	1	0.3014921019606635	0.3014921019606635	0.3014921019606635	342	0	0			signal recognition particle protein	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	20	0.015255530129672006	Model-Supported	signal recognition particle protein	Other / unassigned	Novel/uncertain candidate	0.5861244019138756	0.7777777777777778	True	False	True	False	True	False	True	True	True
GF_01670	1	0.235535256115559	0.235535256115559	0.235535256115559	364	0	0			R3H domain-containing nucleic acid-binding protein	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	21	0.016018306636155607	Highly Pure	R3H domain-containing nucleic acid-binding protein	Other / unassigned	Novel/uncertain candidate		0.9571428571428572	False	False	False	True	True	False	True	True	True
GF_01305	1	0.2324767508106693	0.2324767508106693	0.2324767508106693	368	0	0			DNA-directed RNA polymerase subunit beta''	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	22	0.016781083142639208	Highly Pure	DNA-directed RNA polymerase subunit beta''	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)		0.9814814814814816	False	False	False	True	True	False	True	True	True
GF_01536	1	0.227381305564141	0.227381305564141	0.227381305564141	370	0	0			transcription termination factor NusA	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	23	0.017543859649122806	Model-Supported	transcription termination factor NusA	Regulation	Novel/uncertain candidate	0.3106060606060606	0.6724137931034483	True	False	True	False	True	False	True	True	True
GF_01355	1	0.2260317423388113	0.2260317423388113	0.2260317423388113	372	0	0			PRC-barrel domain-containing protein	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	24	0.018306636155606407	Highly Pure	PRC-barrel domain-containing protein	Other / unassigned	Novel/uncertain candidate		0.9814814814814816	False	False	False	True	True	False	True	True	True
GF_01868	1	0.1826448342286314	0.1826448342286314	0.1826448342286314	398	0	0				Nostoc sp. PCC 7120	uniprot_id_to_GF	0	25	0.01906941266209001	Highly Pure	50S ribosomal protein L34	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)		0.9324324324324323	False	False	False	True	True	False	True	True	True
GF_02069	1	0.1555129396538081	0.1555129396538081	0.1555129396538081	414	0	0			elongation factor G	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	26	0.019832189168573607	Model-Supported	elongation factor G	Other / unassigned	Novel/uncertain candidate	0.8596491228070176	0.6909090909090909	True	False	True	False	True	False	True	True	True
GF_00290	1	0.1479932057121766	0.1479932057121766	0.1479932057121766	420	0	0				Nostoc sp. PCC 7120	uniprot_id_to_GF	0	27	0.020594965675057208	Model-Supported	ATP-dependent Clp protease ATP-binding subunit	Other / unassigned	Novel/uncertain candidate	0.3165869218500797	0.4095940959409594	True	True	True	False	True	False	True	True	True
GF_00087	1	0.1300159684525705	0.1300159684525705	0.1300159684525705	439	0	0			30S ribosomal protein S11	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	28	0.02135774218154081	Model-Supported	30S ribosomal protein S11	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)	0.0474481658692185	0.2635294117647059	True	True	True	False	True	False	True	True	True
