assembly_accession,nifK_best_ref,nifD_present,nifH_best_ref,nifHDK_core_call,nifH_best_evalue,scaffold_n50,checkm_completeness,coverage,checkm_contamination,nifD_best_ref,nifH_present,download_ok,number_of_scaffolds,derived_from_metagenome,nifK_best_evalue,assembly_level,genome_notes,gc_percent,total_ungapped_length,organism_name,nifK_present,annotation_date,number_of_contigs,contig_n50,annotation_fails_MAG_check,nifD_best_evalue,annotation_name,best_hit_ids
GCA_977929215.1,,,,0,,2671853,,100,,,,0,4,0,,Complete Genome,,64,2718915,"{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-18-11-2025-15:22:16:984-142415'}, 'organism_name': 'Synechococcus sp. CS-603', 'tax_id': 2847981}",,,4,2671853,0,,,H=;D=;K=
GCF_977927545.1,nifK-local_aln_i2.1_12182023,0,nifH-local_aln_i2.1_12182023,0,7.700e-52,3073311,,100,,nifD-local_aln_i2.1_12182023,1,1,2,0,1.500e-06,Complete Genome,,65,3094986,"{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151287'}, 'organism_name': 'Cyanobium sp. ULC084', 'tax_id': 2487359}",1,,2,3073311,0,7.400e-05,GCF_977927545.1-RS_2025_12_20,H=WP_259701265.1;D=WP_259732117.1;K=WP_259732117.1
GCF_977927535.1,nifK-local_aln_i2.1_12182023,0,nifH-local_aln_i2.1_12182023,0,7.700e-52,1744470,,100,,nifD-local_aln_i2.1_12182023,1,1,3,0,1.500e-06,Complete Genome,,65,2939533,"{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151288'}, 'organism_name': 'Cyanobium sp. ULC082', 'tax_id': 2137204}",1,,3,1744470,0,6.200e-05,GCF_977927535.1-RS_2025_12_20,H=WP_259701265.1;D=WP_259701264.1;K=WP_259701264.1
GCA_977927555.1,,,,0,,2743189,,100,,,,0,13,0,,Complete Genome,,63.5,2954813,"{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-18-11-2025-15:22:16:984-142414'}, 'organism_name': 'Synechococcus sp. CS-602', 'tax_id': 2847982}",,,13,2743189,0,,,H=;D=;K=
GCA_977927525.1,,,,0,,3135004,,100,,,,0,3,0,,Complete Genome,,64.5,3198443,"{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151289'}, 'organism_name': 'Cyanobium sp. ULC081', 'tax_id': 2487358}",,,3,3135004,0,,,H=;D=;K=
GCF_977927515.1,nifK-local_aln_i2.1_12182023,0,nifH-local_aln_i2.1_12182023,0,2.000e-52,3174230,,100,,nifD-local_aln_i2.1_12182023,1,1,1,0,3.300e-04,Complete Genome,,66,3174230,"{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151290'}, 'organism_name': 'Cyanobium sp. ULC065', 'tax_id': 2137202}",0,,1,3174230,0,1.500e-04,GCF_977927515.1-RS_2025_12_20,H=WP_094513214.1;D=WP_259730799.1;K=WP_259730799.1
GCF_977012465.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,4.300e-163,5813486,,100,,nifD-local_aln_i2.1_12182023,1,1,1,0,1.100e-231,Complete Genome,,54,5813486,"{'infraspecific_names': {'isolate': 'SAMIN0022650-Novel oceanic cyanobacterium isolated from Bangaram island with profound acid neutralizing ability is proposed as Leptolyngbya iicbica sp. nov. strain LK'}, 'organism_name': 'Leptolyngbya iicbica', 'tax_id': 3161580}",1,,1,5813486,0,3.600e-248,GCF_977012465.1-RS_2025_11_19,H=WP_039727379.1;D=WP_039727378.1;K=WP_044151256.1
GCF_976987195.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,8.500e-54,5478552,,100,,nifD-local_aln_i2.1_12182023,1,1,1,0,7.800e-04,Complete Genome,,42.5,5478552,"{'infraspecific_names': {'isolate': 'Water'}, 'organism_name': 'Microcystis aeruginosa NIES-843', 'tax_id': 449447}",0,,1,5478552,0,7.500e-10,GCF_976987195.1-RS_2025_11_18,H=WP_002759152.1;D=WP_061430879.1;K=WP_061430879.1
GCF_052692665.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,7.500e-163,8680294,,33,,nifD-local_aln_i2.1_12182023,1,1,1,0,4.400e-248,Complete Genome,,41.5,8680294,"{'infraspecific_names': {'strain': 'DSM 114161'}, 'organism_name': 'Nostoc sp. DSM 114161', 'tax_id': 3440143}",1,,1,8680294,0,2.100e-247,GCF_052692665.1-RS_2025_09_18,H=WP_445637400.1;D=WP_445632811.1;K=WP_445637425.1
GCF_052692655.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,1.000e-161,8475087,,427,,nifD-local_aln_i2.1_12182023,1,1,1,0,8.500e-246,Complete Genome,,41.5,8475087,"{'infraspecific_names': {'strain': 'DSM 114167'}, 'organism_name': 'Nostoc sp. DSM 114167', 'tax_id': 3439050}",1,,1,8475087,0,5.000e-240,GCF_052692655.1-RS_2025_09_18,H=WP_445630325.1;D=WP_445630326.1;K=WP_445630346.1
GCA_052692605.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,3.000e-163,6115122,,77,,nifD-local_aln_i2.1_12182023,1,1,3,0,9.700e-247,Complete Genome,,41.5,6697579,"{'infraspecific_names': {'isolate': 'CChRGM 3473'}, 'organism_name': 'Nodularia sp. CChRGM 3473', 'tax_id': 3236753}",1,,3,6115122,0,6.200e-260,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=YAF97001.1;D=YAF97002.1;K=YAF97003.1
GCA_052279835.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,3.600e-52,6342702,,38,,nifD-local_aln_i2.1_12182023,1,1,1,0,2.400e-07,Complete Genome,,44.5,6342702,"{'infraspecific_names': {'isolate': 'GLPB'}, 'organism_name': 'Microcoleus sp.', 'tax_id': 44472}",1,,1,6342702,0,5.700e-13,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=XZN92662.1;D=XZN93487.1;K=XZN93487.1
GCA_052279665.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,3.500e-52,6459738,,104,,nifD-local_aln_i2.1_12182023,1,1,1,0,3.000e-07,Complete Genome,,44.5,6459738,"{'infraspecific_names': {'isolate': 'GLPC'}, 'organism_name': 'Microcoleus sp.', 'tax_id': 44472}",1,,1,6459738,0,8.200e-13,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=XZN97804.1;D=XZN96800.1;K=XZN96800.1
GCA_052180185.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,7.700e-52,6876829,,386,,nifD-local_aln_i2.1_12182023,1,1,1,0,1.100e-83,Complete Genome,,42,6876829,"{'infraspecific_names': {'isolate': 'DVL01'}, 'organism_name': 'Gloeotrichia echinulata DVL01', 'tax_id': 3447499}",1,,1,6876829,0,5.600e-101,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=XZF63545.1;D=XZF61059.1;K=XZF61060.1
GCF_051201415.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,1.000e-162,4016649,,250,,nifD-local_aln_i2.1_12182023,1,1,1,0,3.900e-249,Complete Genome,,40.5,4016649,"{'infraspecific_names': {'strain': 'G7'}, 'organism_name': 'Cylindrospermopsis raciborskii G7', 'tax_id': 3438228}",1,,1,4016649,0,6.100e-257,GCF_051201415.1-RS_2025_07_03,H=WP_057177533.1;D=WP_057177532.1;K=WP_006278576.1
GCF_051131155.1,nifK-local_aln_i2.1_12182023,0,nifH-local_aln_i2.1_12182023,0,8.000e-54,5355912,,379.91,,,1,1,1,0,9.100e-04,Complete Genome,,42,5355912,"{'infraspecific_names': {'strain': 'Chao 2107'}, 'organism_name': 'Pseudanabaena minima str. Chao 2107', 'tax_id': 3158965}",0,,1,5355912,0,,GCF_051131155.1-RS_2025_06_28,H=WP_181016150.1;D=;K=WP_434685901.1
GCA_051059355.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,7.800e-53,5297977,,403,,nifD-local_aln_i2.1_12182023,1,1,1,0,6.300e-249,Complete Genome,,38,5297977,"{'infraspecific_names': {'isolate': 'UKL202'}, 'organism_name': 'Dolichospermum sp. UKL202', 'tax_id': 2717877}",1,,1,5297977,0,3.300e-237,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=XWU47493.1;D=XWU44700.1;K=XWU44676.1
GCA_051013385.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,6.500e-163,6858540,,175,,nifD-local_aln_i2.1_12182023,1,1,3,0,4.200e-242,Complete Genome,,40.5,7091402,"{'infraspecific_names': {'isolate': 'R1S1'}, 'organism_name': 'Phormidium sp.', 'tax_id': 1199}",1,,3,6858540,0,1.000e-250,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=XWK91214.1;D=XWK91213.1;K=XWK91212.1
GCF_050920705.1,nifK-local_aln_i2.1_12182023,0,nifH-local_aln_i2.1_12182023,0,5.200e-52,3073547,,100,,nifD-local_aln_i2.1_12182023,1,1,1,0,3.100e-05,Complete Genome,,65.5,3073547,"{'infraspecific_names': {'isolate': 'BSA11S'}, 'organism_name': 'Cyanobium sp. BSA11S', 'tax_id': 3108224}",0,,1,3073547,0,8.900e-04,GCF_050920705.1-RS_2025_06_16,H=WP_255441393.1;D=WP_185465329.1;K=WP_185465329.1
GCA_050884905.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,9.300e-83,5838192,,542,,nifD-local_aln_i2.1_12182023,1,1,2,0,3.400e-250,Complete Genome,,38,6038987,"{'infraspecific_names': {'isolate': 'DET68'}, 'organism_name': 'Dolichospermum sp. DET68', 'tax_id': 2704417}",1,,2,5838192,0,1.000e-236,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),H=XVE07911.1;D=XVE07903.1;K=XVE07886.1
GCF_050711215.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,8.500e-54,5868208,,72,,nifD-local_aln_i2.1_12182023,1,1,1,0,7.800e-04,Complete Genome,,42.5,5868208,"{'infraspecific_names': {'strain': 'FBCC-A68'}, 'organism_name': 'Microcystis aeruginosa FBCC-A68', 'tax_id': 3079052}",0,,1,5868208,0,7.500e-10,GCF_050711215.1-RS_2025_06_04,H=WP_002759152.1;D=WP_061430879.1;K=WP_061430879.1
GCA_050632425.1,,,,0,,5003371,,111,,,,0,4,0,,Complete Genome,,42.5,5645452,"{'infraspecific_names': {'isolate': 'Passages #2 and #5'}, 'organism_name': 'Pseudanabaena sp. BL-A-41', 'tax_id': 3412012}",,,4,5003371,0,,,H=;D=;K=
GCF_050563455.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,4.700e-155,6132292,,91,,nifD-local_aln_i2.1_12182023,1,1,4,0,2.200e-239,Complete Genome,,37,6283531,"{'infraspecific_names': {'strain': 'WH 8501'}, 'organism_name': 'Crocosphaera watsonii WH 8501', 'tax_id': 165597}",1,,4,6132292,0,1.800e-255,GCF_050563455.1-RS_2025_05_26,H=WP_007305800.1;D=WP_007305801.1;K=WP_007305802.1
GCF_050500255.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,8.500e-54,5864213,,,,nifD-local_aln_i2.1_12182023,1,1,1,0,7.800e-04,Complete Genome,,42.5,5864213,"{'infraspecific_names': {'strain': 'FBCC-A68'}, 'organism_name': 'Microcystis aeruginosa FBCC-A68', 'tax_id': 3079052}",0,,1,5864213,0,7.500e-10,GCF_050500255.1-RS_2025_05_21,H=WP_002759152.1;D=WP_061430879.1;K=WP_061430879.1
GCF_050500245.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,8.300e-53,4916250,,,,nifD-local_aln_i2.1_12182023,1,1,1,0,1.400e-03,Complete Genome,,42.5,4916250,"{'infraspecific_names': {'strain': 'FBCC-A1114'}, 'organism_name': 'Microcystis ichthyoblabe FBCC-A1114', 'tax_id': 3422495}",0,,1,4916250,0,1.200e-09,GCF_050500245.1-RS_2025_05_21,H=WP_430013300.1;D=WP_430014318.1;K=WP_430014318.1
GCF_050500235.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,5.200e-54,4917921,,,,nifD-local_aln_i2.1_12182023,1,1,1,0,1.400e-03,Complete Genome,,42.5,4917921,"{'infraspecific_names': {'strain': 'FBCC-A270'}, 'organism_name': 'Microcystis protocystis FBCC-A270', 'tax_id': 3422496}",0,,1,4917921,0,1.200e-09,GCF_050500235.1-RS_2025_05_21,H=WP_002735653.1;D=WP_430014318.1;K=WP_430014318.1
GCF_050422935.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,1,2.500e-51,2717027,,120,,nifD-local_aln_i2.1_12182023,1,1,1,0,7.700e-07,Complete Genome,,55,2717027,"{'infraspecific_names': {'strain': 'M14.2'}, 'organism_name': 'Synechococcus elongatus M14.2', 'tax_id': 3242107}",1,,1,2717027,0,1.500e-12,GCF_050422935.1-RS_2025_05_20,H=WP_208673436.1;D=WP_208673277.1;K=WP_208673277.1
GCF_050408035.1,nifK-local_aln_i2.1_12182023,1,nifH-local_aln_i2.1_12182023,0,1.200e-52,3573470,,100,,nifD-local_aln_i2.1_12182023,1,1,5,0,7.200e-05,Complete Genome,,47.5,3947019,"{'infraspecific_names': {'strain': 'PCC 6803'}, 'organism_name': 'Synechocystis sp. PCC 6803', 'tax_id': 1148}",0,,5,3573470,0,1.000e-11,GCF_050408035.1-RS_2025_05_18,H=WP_041426077.1;D=WP_010873342.1;K=WP_010873342.1
