assembly_accession,nifK_best_ref,nifD_present,nifH_best_ref,nifHDK_core_call,nifH_best_evalue,scaffold_n50,checkm_completeness,coverage,checkm_contamination,nifD_best_ref,nifH_present,download_ok,number_of_scaffolds,derived_from_metagenome,nifK_best_evalue,assembly_level,genome_notes,gc_percent,total_ungapped_length,organism_name,nifK_present,annotation_date,number_of_contigs,contig_n50,annotation_fails_MAG_check,nifD_best_evalue,annotation_name,best_hit_ids,organism_full,genus,is_diazotroph
GCF_977927545.1,nifK-local_aln_i2.1_12182023,0.0,nifH-local_aln_i2.1_12182023,0,7.7e-52,3073311,,100.0,,nifD-local_aln_i2.1_12182023,1.0,1,2,0,1.5e-06,Complete Genome,,65.0,3094986,"{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151287'}, 'organism_name': 'Cyanobium sp. ULC084', 'tax_id': 2487359}",1.0,,2,3073311,0,7.4e-05,GCF_977927545.1-RS_2025_12_20,H=WP_259701265.1;D=WP_259732117.1;K=WP_259732117.1,Cyanobium sp. ULC084,Cyanobium,False
GCF_977927535.1,nifK-local_aln_i2.1_12182023,0.0,nifH-local_aln_i2.1_12182023,0,7.7e-52,1744470,,100.0,,nifD-local_aln_i2.1_12182023,1.0,1,3,0,1.5e-06,Complete Genome,,65.0,2939533,"{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151288'}, 'organism_name': 'Cyanobium sp. ULC082', 'tax_id': 2137204}",1.0,,3,1744470,0,6.2e-05,GCF_977927535.1-RS_2025_12_20,H=WP_259701265.1;D=WP_259701264.1;K=WP_259701264.1,Cyanobium sp. ULC082,Cyanobium,False
GCF_977927515.1,nifK-local_aln_i2.1_12182023,0.0,nifH-local_aln_i2.1_12182023,0,2e-52,3174230,,100.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.00033,Complete Genome,,66.0,3174230,"{'infraspecific_names': {'isolate': 'ena-SAMPLE-TAB-19-11-2025-09:23:59:194-151290'}, 'organism_name': 'Cyanobium sp. ULC065', 'tax_id': 2137202}",0.0,,1,3174230,0,0.00015,GCF_977927515.1-RS_2025_12_20,H=WP_094513214.1;D=WP_259730799.1;K=WP_259730799.1,Cyanobium sp. ULC065,Cyanobium,False
GCF_977012465.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,4.3e-163,5813486,,100.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,1.0999999999999999e-231,Complete Genome,,54.0,5813486,"{'infraspecific_names': {'isolate': 'SAMIN0022650-Novel oceanic cyanobacterium isolated from Bangaram island with profound acid neutralizing ability is proposed as Leptolyngbya iicbica sp. nov. strain LK'}, 'organism_name': 'Leptolyngbya iicbica', 'tax_id': 3161580}",1.0,,1,5813486,0,3.600000000000001e-248,GCF_977012465.1-RS_2025_11_19,H=WP_039727379.1;D=WP_039727378.1;K=WP_044151256.1,Leptolyngbya iicbica,Leptolyngbya,True
GCF_976987195.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,8.5e-54,5478552,,100.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.00078,Complete Genome,,42.5,5478552,"{'infraspecific_names': {'isolate': 'Water'}, 'organism_name': 'Microcystis aeruginosa NIES-843', 'tax_id': 449447}",0.0,,1,5478552,0,7.5e-10,GCF_976987195.1-RS_2025_11_18,H=WP_002759152.1;D=WP_061430879.1;K=WP_061430879.1,Microcystis aeruginosa NIES-843,Microcystis,False
GCF_052692665.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,7.5e-163,8680294,,33.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,4.4e-248,Complete Genome,,41.5,8680294,"{'infraspecific_names': {'strain': 'DSM 114161'}, 'organism_name': 'Nostoc sp. DSM 114161', 'tax_id': 3440143}",1.0,,1,8680294,0,2.0999999999999998e-247,GCF_052692665.1-RS_2025_09_18,H=WP_445637400.1;D=WP_445632811.1;K=WP_445637425.1,Nostoc sp. DSM 114161,Nostoc,True
GCF_052692655.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,1e-161,8475087,,427.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,8.500000000000002e-246,Complete Genome,,41.5,8475087,"{'infraspecific_names': {'strain': 'DSM 114167'}, 'organism_name': 'Nostoc sp. DSM 114167', 'tax_id': 3439050}",1.0,,1,8475087,0,4.999999999999999e-240,GCF_052692655.1-RS_2025_09_18,H=WP_445630325.1;D=WP_445630326.1;K=WP_445630346.1,Nostoc sp. DSM 114167,Nostoc,True
GCF_051201415.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,1e-162,4016649,,250.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,3.9e-249,Complete Genome,,40.5,4016649,"{'infraspecific_names': {'strain': 'G7'}, 'organism_name': 'Cylindrospermopsis raciborskii G7', 'tax_id': 3438228}",1.0,,1,4016649,0,6.1e-257,GCF_051201415.1-RS_2025_07_03,H=WP_057177533.1;D=WP_057177532.1;K=WP_006278576.1,Cylindrospermopsis raciborskii G7,Cylindrospermopsis,True
GCF_051131155.1,nifK-local_aln_i2.1_12182023,0.0,nifH-local_aln_i2.1_12182023,0,7.999999999999998e-54,5355912,,379.91,,,1.0,1,1,0,0.00091,Complete Genome,,42.0,5355912,"{'infraspecific_names': {'strain': 'Chao 2107'}, 'organism_name': 'Pseudanabaena minima str. Chao 2107', 'tax_id': 3158965}",0.0,,1,5355912,0,,GCF_051131155.1-RS_2025_06_28,H=WP_181016150.1;D=;K=WP_434685901.1,Pseudanabaena minima str. Chao 2107,Pseudanabaena,False
GCF_050920705.1,nifK-local_aln_i2.1_12182023,0.0,nifH-local_aln_i2.1_12182023,0,5.2e-52,3073547,,100.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,3.1e-05,Complete Genome,,65.5,3073547,"{'infraspecific_names': {'isolate': 'BSA11S'}, 'organism_name': 'Cyanobium sp. BSA11S', 'tax_id': 3108224}",0.0,,1,3073547,0,0.00089,GCF_050920705.1-RS_2025_06_16,H=WP_255441393.1;D=WP_185465329.1;K=WP_185465329.1,Cyanobium sp. BSA11S,Cyanobium,False
