gene_family,importance,direction,effect_size,diaz_rate_present,diaz_rate_absent,n_genomes_with_feature,p_value,interpretation
GF_00175,0.11670813539118945,Positive,0.43638443935926774,0.6521739130434783,0.21578947368421053,46,6.71562562793935e-10,Presence associated with diazotrophy (+43.6%-pts)
GF_00982,0.0960101482405645,Positive,0.09478069100710612,0.34545454545454546,0.25067385444743934,55,0.1848396863740007,Presence associated with diazotrophy (+9.5%-pts)
GF_01328,0.08973578131533358,Positive,0.7818126335062557,0.8850574712643678,0.10324483775811209,87,1.5440766605270074e-48,Presence associated with diazotrophy (+78.2%-pts)
GF_01783,0.08969660352709477,Negative,-0.32451499118165783,0.24691358024691357,0.5714285714285714,405,0.002368577893096038,Presence associated with non-diazotrophy (-32.5%-pts)
GF_00702,0.08966021164266194,Positive,0.1948685460880583,0.43902439024390244,0.24415584415584415,41,0.012141173234492387,Presence associated with diazotrophy (+19.5%-pts)
GF_01426,0.08867410327400238,Positive,0.7802453987730061,0.86,0.07975460122699386,100,2.4034636741081324e-53,Presence associated with diazotrophy (+78.0%-pts)
GF_00684,0.08204350191484062,Negative,-0.06508805330794856,0.20454545454545456,0.2696335078534031,44,0.45451495142125387,Presence associated with non-diazotrophy (-6.5%-pts)
GF_02141,0.08099634511356033,Positive,0.665754106520657,0.7755102040816326,0.10975609756097561,98,1.1281208886132893e-38,Presence associated with diazotrophy (+66.6%-pts)
GF_02180,0.07610937015888125,Positive,0.5246478873239436,0.6126760563380281,0.0880281690140845,142,1.6801277803663488e-30,Presence associated with diazotrophy (+52.5%-pts)
GF_01927,0.07288409890273727,Positive,0.07051282051282054,0.32051282051282054,0.25,78,0.25582517687110284,Presence associated with diazotrophy (+7.1%-pts)
GF_00426,0.06613468985698945,Positive,0.3181741089816587,0.4697986577181208,0.15162454873646208,149,2.58067286731435e-12,Presence associated with diazotrophy (+31.8%-pts)
GF_01386,0.06599070620057715,Positive,0.7975725766770543,0.8901098901098901,0.09253731343283582,91,3.978436720281797e-52,Presence associated with diazotrophy (+79.8%-pts)
GF_02263,0.0652972507293425,Positive,0.45252887742514303,0.518918918918919,0.06639004149377593,185,2.3405772497644906e-25,Presence associated with diazotrophy (+45.3%-pts)
GF_00856,0.0639770583663723,Positive,0.7335082458770614,0.896551724137931,0.16304347826086957,58,2.7719178173926676e-31,Presence associated with diazotrophy (+73.4%-pts)
GF_02071,0.061093097041088375,Positive,0.7471947968241877,0.822429906542056,0.07523510971786834,107,2.693635888586445e-51,Presence associated with diazotrophy (+74.7%-pts)
GF_02145,0.05961501299243678,Positive,0.24936507936507937,0.33666666666666667,0.0873015873015873,300,1.8343866659852347e-07,Presence associated with diazotrophy (+24.9%-pts)
GF_01673,0.057717173230512904,Positive,0.42340751888403316,0.5779816513761468,0.15457413249211358,109,1.3874590589023062e-17,Presence associated with diazotrophy (+42.3%-pts)
GF_00080,0.056292572614819104,Positive,0.7585241413638627,0.8469387755102041,0.08841463414634146,98,8.472507648222338e-50,Presence associated with diazotrophy (+75.9%-pts)
GF_00315,0.05517471830598282,Positive,0.0014163589458242587,0.2641509433962264,0.26273458445040215,53,1.0,Presence associated with diazotrophy (+0.1%-pts)
GF_02075,0.054836602956654275,Positive,0.3470646766169154,0.4266666666666667,0.07960199004975124,225,1.1191596444165396e-15,Presence associated with diazotrophy (+34.7%-pts)
GF_01659,0.05461064728657065,Positive,0.7175878308883235,0.8979591836734694,0.18037135278514588,49,4.477784364504383e-26,Presence associated with diazotrophy (+71.8%-pts)
