gene_family	candidate_set	interpreted_component	product	module_bin	diazotroph_pct_mean	diazotroph_pct_max	primary_bridge_broad_ge1u_ge1f	strict_unicellular_breadth_ge3u_ge1f	broad_unicellular_genomes	broad_unicellular_genera	broad_filamentous_proxy_genomes	broad_filamentous_proxy_genera	strict_unicellular_genomes	strict_unicellular_genera	strict_filamentous_proxy_genomes	strict_filamentous_proxy_genera	fox_status	primary_filter_note
GF_01922	Highly Pure	NIFB / nitrogenase assembly or cofactor	nitrogenase cofactor biosynthesis protein NifB	Nitrogenase / nif machinery	0.9855072463768116	0.9855072463768116	True	False	2	1	66	17	0	0	68	18	Rediscovery: core diazotrophy/FOX machinery	passes primary cross-morphotype bridge
GF_02221	Highly Pure	NIFE / nitrogenase assembly or cofactor	nitrogenase iron-molybdenum cofactor biosynthesis protein NifE	Nitrogenase / nif machinery	0.9882352941176472	0.9882352941176472	True	True	11	7	73	22	8	4	76	25	Rediscovery: core diazotrophy/FOX machinery	passes primary cross-morphotype bridge
GF_00157	Highly Pure	NIFN / nitrogenase assembly or cofactor	nitrogenase iron-molybdenum cofactor biosynthesis protein NifN	Nitrogenase / nif machinery	0.9824561403508772	0.9824561403508772	False	False	0	0	56	13	0	0	56	13	Rediscovery: core diazotrophy/FOX machinery	fails primary bridge because no broad-proxy unicellular carriers were detected
GF_01491	Highly Pure	NIFS / nitrogenase assembly or cofactor	cysteine desulfurase NifS	Nitrogenase / nif machinery	0.9855072463768116	0.9855072463768116	True	False	2	1	66	17	0	0	68	18	Novel/uncertain candidate	passes primary cross-morphotype bridge
GF_01402	Highly Pure	NIFT / nitrogenase assembly or cofactor	putative nitrogen fixation protein NifT	Nitrogenase / nif machinery	1.0	1.0	False	False	0	0	43	12	0	0	43	12	Novel/uncertain candidate	fails primary bridge because no broad-proxy unicellular carriers were detected
GF_01318	Highly Pure	NIFU / nitrogenase assembly or cofactor	Fe-S cluster assembly protein NifU	Nitrogenase / nif machinery	0.9824561403508772	0.9824561403508772	False	False	0	0	56	13	0	0	56	13	FOX-consistent support function (plausible rediscovery)	fails primary bridge because no broad-proxy unicellular carriers were detected
GF_00097	Highly Pure	Nif3-like protein	Nif3-like dinuclear metal center hexameric protein	Nitrogenase / nif machinery	0.9807692307692308	0.9807692307692308	False	False	0	0	51	12	0	0	51	12	Novel/uncertain candidate	fails primary bridge because no broad-proxy unicellular carriers were detected
GF_00166	Highly Pure	nif-specific ferredoxin	ferredoxin III%2C nif-specific	Nitrogenase / nif machinery	1.0	1.0	False	False	0	0	52	12	0	0	52	12	FOX-consistent support function (plausible rediscovery)	fails primary bridge because no broad-proxy unicellular carriers were detected
GF_00526	Highly Pure	nifD / nitrogenase MoFe alpha	nitrogenase molybdenum-iron protein alpha chain	Nitrogenase / nif machinery	0.9878048780487804	0.9878048780487804	True	True	14	8	67	22	10	5	71	25	Rediscovery: core diazotrophy/FOX machinery	passes primary cross-morphotype bridge
GF_00168	Highly Pure	nifH / nitrogenase Fe protein	nitrogenase iron protein	Nitrogenase / nif machinery	1.0	1.0	True	False	4	2	72	20	2	1	74	21	Rediscovery: core diazotrophy/FOX machinery	passes primary cross-morphotype bridge
GF_00158	Highly Pure	nifK / nitrogenase MoFe beta	nitrogenase molybdenum-iron protein subunit beta	Nitrogenase / nif machinery	0.9761904761904762	0.9761904761904762	False	False	0	0	41	10	0	0	41	10	Rediscovery: core diazotrophy/FOX machinery	fails primary bridge because no broad-proxy unicellular carriers were detected
GF_00814	Model-Supported	NIFU / nitrogenase assembly or cofactor	NifU family protein	Nitrogenase / nif machinery	0.3373493975903614	0.3373493975903614	True	True	10	7	74	26	8	6	76	27	Novel/uncertain candidate	passes primary cross-morphotype bridge
