accession	organism_name	assembly_level	number_of_contigs	contig_n50	number_of_scaffolds	scaffold_n50	total_ungapped_length	gc_percent	coverage	annotation_name	annotation_date	checkm_completeness	checkm_contamination	genome_notes	derived_from_metagenome	annotation_fails_MAG_check	assembly_accession	_is_refseq	_is_complete
GCF_000196515.1	"{'infraspecific_names': {'strain': '0708'}, 'organism_name': ""'Nostoc azollae' 0708"", 'tax_id': 551115}"	Complete Genome	3	5354700	3	5354700	5486145	38.5		GCF_000196515.1-RS_2025_03_28					0	0	GCF_000196515.1	True	True
GCF_000316605.1	{'infraspecific_names': {'strain': 'PCC 7376'}, 'organism_name': '[Leptolyngbya] sp. PCC 7376', 'tax_id': 111781}	Complete Genome	1	5125950	1	5125950	5125950	44.0	30.0	GCF_000316605.1-RS_2024_11_05					0	0	GCF_000316605.1	True	True
GCF_016446395.1	{'infraspecific_names': {'strain': 'ETS-05'}, 'organism_name': '[Phormidium] sp. ETS-05', 'tax_id': 222819}	Complete Genome	1	6286783	1	6286783	6286783	49.5	347.0	GCF_016446395.1-RS_2024_09_22					0	0	GCF_016446395.1	True	True
GCF_002356215.1	{'infraspecific_names': {'strain': 'NIES-970'}, 'organism_name': '[Synechococcus] sp. NIES-970', 'tax_id': 1827144}	Complete Genome	5	2836539	5	2836539	3123859	49.5	173.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_002356215.1	True	True
GCF_024347835.1	{'infraspecific_names': {'strain': 'MBIC10699'}, 'organism_name': 'Acaryochloris marina MBIC10699', 'tax_id': 2954813}	Complete Genome	5	6415507	5	6415507	7647728	47.0	110.0	GCF_024347835.1-RS_2025_11_20					0	0	GCF_024347835.1	True	True
GCF_000018105.1	{'infraspecific_names': {'strain': 'MBIC11017'}, 'organism_name': 'Acaryochloris marina MBIC11017', 'tax_id': 329726}	Complete Genome	10	6503724	10	6503724	8361599	47.0		GCF_000018105.1-RS_2025_11_24					0	0	GCF_000018105.1	True	True
GCF_018336915.1	{'infraspecific_names': {'strain': 'S15'}, 'organism_name': 'Acaryochloris marina S15', 'tax_id': 2762553}	Complete Genome	7	5881945	7	5881945	7112772	47.0	75.0	GCF_018336915.1-RS_2024_11_06					0	0	GCF_018336915.1	True	True
GCF_021497025.1	"{'infraspecific_names': {'strain': 'Moss Beach'}, 'organism_name': ""Acaryochloris sp. 'Moss Beach'"", 'tax_id': 2740837}"	Complete Genome	11	5699248	11	5699248	7254703	46.5	35.0	GCF_021497025.1-RS_2024_11_06					0	0	GCF_021497025.1	True	True
GCF_050235535.1	{'infraspecific_names': {'strain': 'HNIBRCY26'}, 'organism_name': 'Aliinostoc sp. HNIBRCY26', 'tax_id': 3418997}	Complete Genome	1	7128814	1	7128814	7128814	41.0	3990.0	GCF_050235535.1-RS_2025_05_08					0	0	GCF_050235535.1	True	True
GCF_000317515.1	{'infraspecific_names': {'strain': 'PCC 7113'}, 'organism_name': 'Allocoleopsis franciscana PCC 7113', 'tax_id': 1173027}	Complete Genome	9	7470429	9	7470429	7966510	46.0	30.0	GCF_000317515.1-RS_2025_11_20					0	0	GCF_000317515.1	True	True
