aryal_gene_family,aryal_product,aryal_gene,aryal_module_bin,aryal_consensus_rank_pct_mean,aryal_product_is_informative,n_current_product_matches,current_matching_families,current_candidate_sets,current_modules,any_current_model_supported,any_current_highly_pure,any_current_fox,any_current_proteomics_detected,any_current_proteomics_directional,any_current_three_layer,any_same_gf_id
GF_01462,cytochrome b6,petB,Respiration & bioenergetics,0.10506716278929,True,1,GF_01297,Model-Supported,Respiration & bioenergetics,True,False,True,True,True,True,False
GF_00584,iron-sulfur cluster assembly accessory protein,,Metallocluster & Fe-S biogenesis,0.2617722094970969,True,1,GF_02143,Model-Supported,Metallocluster & Fe-S biogenesis,True,False,True,True,True,True,False
GF_02394,histidinol dehydrogenase,hisD,Other / unassigned,0.3647608201589379,True,1,GF_00355,Model-Supported,Other / unassigned,True,False,True,True,True,True,False
GF_00332,NADP-dependent isocitrate dehydrogenase,,Other / unassigned,0.368285379059649,True,1,GF_00624,Model-Supported,Other / unassigned,True,False,True,True,True,True,False
GF_01767,glycolate oxidase subunit GlcD,glcD,Respiration & bioenergetics,0.4057837045739507,True,1,GF_00314,Model-Supported,Respiration & bioenergetics,True,False,True,True,True,True,False
GF_00859,glucose-6-phosphate dehydrogenase,zwf,Other / unassigned,0.4580616129866074,True,2,GF_00486;GF_01818,Highly Pure;Model-Supported,Other / unassigned,True,True,True,True,True,True,False
GF_01787,alpha-ketoacid dehydrogenase subunit beta,,Other / unassigned,0.4973605892002724,True,1,GF_00043,Model-Supported,Other / unassigned,True,False,True,True,True,True,False
GF_00635,thioredoxin,trxA,O2 protection & redox homeostasis,0.5915745467605416,True,3,GF_00098;GF_00352;GF_00965,Highly Pure;Model-Supported,O2 protection & redox homeostasis,True,True,True,True,True,True,False
GF_01827,Fe-S cluster assembly protein SufB,sufB,Metallocluster & Fe-S biogenesis,0.733899922929395,True,1,GF_00968,Model-Supported,Metallocluster & Fe-S biogenesis,True,False,True,True,True,True,False
GF_01596,ferredoxin,,O2 protection & redox homeostasis,0.6025809474363151,True,1,GF_01686,Highly Pure,O2 protection & redox homeostasis,False,True,True,True,True,False,False
GF_02514,ferredoxin,,O2 protection & redox homeostasis,0.8803017401732742,True,1,GF_01686,Highly Pure,O2 protection & redox homeostasis,False,True,True,True,True,False,False
GF_00873,molecular chaperone DnaK,dnaK,Other / unassigned,0.2065573722423525,True,3,GF_00614;GF_00652;GF_01345,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_02377,NAD(P)H-quinone oxidoreductase subunit I,ndhI,Respiration & bioenergetics,0.2433178731114553,True,1,GF_02136,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_02444,form I ribulose bisphosphate carboxylase large subunit,,Other / unassigned,0.2459867140861658,True,1,GF_01397,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01501,chaperonin GroEL,groL,Other / unassigned,0.2464716553152618,True,2,GF_01799;GF_01817,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_00079,TRC40/GET3/ArsA family transport-energizing ATPase,,Transport,0.2510867595183579,True,1,GF_00072,Model-Supported,Transport,True,False,False,True,True,False,False
GF_00800,porphobilinogen synthase,hemB,Other / unassigned,0.2590026685837096,True,2,GF_00457;GF_00538,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00984,ATP-dependent zinc metalloprotease FtsH3,,Housekeeping / lineage marker,0.2650352893221872,True,1,GF_00727,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00172,adenylosuccinate lyase,purB,Other / unassigned,0.2717971426586972,True,2,GF_00085;GF_00725,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_01006,P-II family nitrogen regulator,,Regulation,0.2719888692464303,True,2,GF_01395;GF_01548,Highly Pure;Model-Supported,Regulation,True,True,False,True,True,False,False
GF_00981,glutamine-hydrolyzing GMP synthase,,Other / unassigned,0.2884785478108329,True,1,GF_01621,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00104,translational GTPase TypA,typA,Other / unassigned,0.296401765175392,True,1,GF_01479,Model-Supported,Other / unassigned,True,False,False,True,True,False,False
GF_00620,photosystem I core protein PsaB,psaB,Housekeeping / lineage marker,0.3031253418090643,True,1,GF_01904,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_02028,30S ribosomal protein S13,rpsM,Housekeeping / lineage marker,0.311216324767492,True,1,GF_00688,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_00612,pyruvate kinase,pyk,Other / unassigned,0.3145262496968631,True,3,GF_00095;GF_00361;GF_01680,Highly Pure;Model-Supported,Other / unassigned,True,True,False,True,True,False,False
GF_02375,30S ribosomal protein S4,rpsD,Housekeeping / lineage marker,0.318614941092421,True,1,GF_02075,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
GF_01954,photosystem II reaction center protein L,,Housekeeping / lineage marker,0.3300578968746312,True,1,GF_01677,Model-Supported,Housekeeping / lineage marker,True,False,False,True,True,False,False
