gene_family,rep_id,member_id,assembly_accession,protein_id,nifK_best_ref,nifD_present,nifH_best_ref,nifHDK_core_call,nifH_best_evalue,scaffold_n50,checkm_completeness,coverage,checkm_contamination,nifD_best_ref,nifH_present,download_ok,number_of_scaffolds,derived_from_metagenome,nifK_best_evalue,assembly_level,genome_notes,gc_percent,total_ungapped_length,organism_name,nifK_present,annotation_date,number_of_contigs,contig_n50,annotation_fails_MAG_check,nifD_best_evalue,annotation_name,best_hit_ids,organism_full,genus,is_diazotroph
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_000021805.1|WP_012594993.1,GCF_000021805.1,WP_012594993.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,9.2e-155,4679413,,,,nifD-local_aln_i2.1_12182023,1.0,1,4,0,2.2e-245,Complete Genome,,40.0,4787694,"{'infraspecific_names': {'strain': 'PCC 8801'}, 'organism_name': 'Rippkaea orientalis PCC 8801', 'tax_id': 41431}",1.0,,4,4679413,0,4.6e-257,GCF_000021805.1-RS_2025_04_02,H=WP_012595104.1;D=WP_012595105.1;K=WP_012595106.1,Rippkaea orientalis PCC 8801,Rippkaea,True
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_019704275.1|WP_002770735.1,GCF_019704275.1,WP_002770735.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,8.5e-54,5478552,,87.0,,nifD-local_aln_i2.1_12182023,1.0,1,3,0,0.00078,Complete Genome,,42.5,5501105,"{'infraspecific_names': {'strain': 'NIES-88'}, 'organism_name': 'Microcystis aeruginosa', 'tax_id': 1126}",0.0,,3,5478552,0,7.5e-10,GCF_019704275.1-RS_2025_09_26,H=WP_002759152.1;D=WP_061430879.1;K=WP_061430879.1,Microcystis aeruginosa,Microcystis,False
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_022869765.1|WP_010873737.1,GCF_022869765.1,WP_010873737.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,1.2e-52,3569929,,30.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,7.2e-05,Complete Genome,,47.5,3569929,"{'infraspecific_names': {'strain': 'PCC 6803 substr. GT-T'}, 'organism_name': 'Synechocystis sp. PCC 6803', 'tax_id': 1148}",0.0,,1,3569929,0,1e-11,GCF_022869765.1-RS_2024_07_21,H=WP_041426077.1;D=WP_010873342.1;K=WP_010873342.1,Synechocystis sp. PCC 6803,Synechocystis,False
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_000284455.1|WP_010873737.1,GCF_000284455.1,WP_010873737.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,1.2e-52,3570114,,70.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,7.2e-05,Complete Genome,,47.5,3570114,"{'infraspecific_names': {'strain': 'PCC 6803 substr. PCC-P'}, 'organism_name': 'Synechocystis sp. PCC 6803 substr. PCC-P', 'tax_id': 1080230}",0.0,,1,3570114,0,1e-11,GCF_000284455.1-RS_2024_08_13,H=WP_041426077.1;D=WP_010873342.1;K=WP_010873342.1,Synechocystis sp. PCC 6803 substr. PCC-P,Synechocystis,False
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_000829235.1|WP_044106293.1,GCF_000829235.1,WP_044106293.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,2.6e-156,2794318,,144.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,1.5999999999999998e-238,Complete Genome,,33.5,2794318,"{'infraspecific_names': {'isolate': 'ETSB Lake Yunoko'}, 'organism_name': 'cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko', 'tax_id': 1228987}",1.0,,1,2794318,0,1.2e-256,GCF_000829235.1-RS_2025_12_13,H=WP_044107033.1;D=WP_044107032.1;K=WP_044107031.1,cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko,cyanobacterium,True
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_000270265.1|WP_010873737.1,GCF_000270265.1,WP_010873737.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,1.2e-52,3571103,,20.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,7.2e-05,Complete Genome,,47.5,3571103,"{'infraspecific_names': {'strain': 'GT-S'}, 'organism_name': 'Synechocystis sp. PCC 6803', 'tax_id': 1148}",0.0,,1,3571103,0,1e-11,GCF_000270265.1-RS_2024_08_13,H=WP_041426077.1;D=WP_010873342.1;K=WP_010873342.1,Synechocystis sp. PCC 6803,Synechocystis,False
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_003015225.1|WP_010873737.1,GCF_003015225.1,WP_010873737.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,1.2e-52,3574310,,300.0,,nifD-local_aln_i2.1_12182023,1.0,1,7,0,7.2e-05,Complete Genome,,47.5,3950993,"{'infraspecific_names': {'strain': 'IPPAS B-1465'}, 'organism_name': 'Synechocystis sp. IPPAS B-1465', 'tax_id': 2116702}",0.0,,7,3574310,0,1e-11,GCF_003015225.1-RS_2024_08_14,H=WP_041426077.1;D=WP_010873342.1;K=WP_010873342.1,Synechocystis sp. IPPAS B-1465,Synechocystis,False
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_947331815.1|WP_267382995.1,GCF_947331815.1,WP_267382995.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,1,6e-156,2483960,,298.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,4.8e-236,Complete Genome,,33.5,2483960,"{'infraspecific_names': {'isolate': '25016'}, 'organism_name': 'Cyanobacterium sp. uoEpiScrs1', 'tax_id': 2976343}",1.0,,1,2483960,0,5.7999999999999996e-257,GCF_947331815.1-RS_2025_02_26,H=WP_267383982.1;D=WP_267383983.1;K=WP_267383984.1,Cyanobacterium sp. uoEpiScrs1,Cyanobacterium,True
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_001318385.1|WP_010873737.1,GCF_001318385.1,WP_010873737.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,1.2e-52,3569196,,,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,7.2e-05,Complete Genome,,47.5,3569196,"{'infraspecific_names': {'strain': 'PCC 6803 substr. GT-G'}, 'organism_name': 'Synechocystis sp. PCC 6803', 'tax_id': 1148}",0.0,,1,3569196,0,1e-11,GCF_001318385.1-RS_2025_08_25,H=WP_041426077.1;D=WP_010873342.1;K=WP_010873342.1,Synechocystis sp. PCC 6803,Synechocystis,False
GF_00107,GCF_000021805.1|WP_012594993.1,GCF_976987195.1|WP_002770735.1,GCF_976987195.1,WP_002770735.1,nifK-local_aln_i2.1_12182023,1.0,nifH-local_aln_i2.1_12182023,0,8.5e-54,5478552,,100.0,,nifD-local_aln_i2.1_12182023,1.0,1,1,0,0.00078,Complete Genome,,42.5,5478552,"{'infraspecific_names': {'isolate': 'Water'}, 'organism_name': 'Microcystis aeruginosa NIES-843', 'tax_id': 449447}",0.0,,1,5478552,0,7.5e-10,GCF_976987195.1-RS_2025_11_18,H=WP_002759152.1;D=WP_061430879.1;K=WP_061430879.1,Microcystis aeruginosa NIES-843,Microcystis,False
