gene_family,study_id,paper_short,organism,n_unique_source_proteins,source_protein_keys,mapped_wp_accessions,representative_protein_names,evidence_metric_examples,mapping_methods,candidate_set,product,module_bin,fox_status,best_rank,consensus_rank_pct_mean,diazotroph_pct_mean,n_member_genomes,n_member_proteins,nif_or_nitrogenase_audit
GF_00006,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_R1623,WP_012408325.1,Ndh; NADH dehydrogenase.,Log2 Ratio (Heterocyst/Filaments)=0.2584397055077027; Variability [%]=10.0020224248575; Peptide Pair Count=5;2 | 24h Log2 Ratio (Het/Fil) (Present study)=0.2584397055077027; Variability [%]=10.0020224248575; Peptide Pair Count=5;2; Steady state Log2 ratio [7]=1.2863232579065487,old_locus_tag,Highly Pure,NAD(P)/FAD-dependent oxidoreductase,Other / unassigned,Novel/uncertain candidate,,,1.0,49,49,False
GF_00015,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_1047,WP_011610805.1,"Tery_1047 AAA ATPase, central region [Trichodesmium erythraeum IMS101: NC_008312]",mean_relative_abundance=20.88; max=30.27@0h; min=15.19@13h; dynamic_range=15.07,old_locus_tag,Model-Supported,stress-responsive protein Ycf46,Other / unassigned,Novel/uncertain candidate,354.0,0.25,0.5057471264367817,174,174,False
GF_00015,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_3626,WP_009545215.1,ATPase,Two-way ANOVA p value nitrate=1.19037494310949e-05; Two-way ANOVA p value lightordark=0.0132981854238605; Two-way ANOVA p value Interaction=0.0252235489901108; D-_avgLFQ=29.3744611740112; D+_avgLFQ=29.5738320350647; L-_avgLFQ=29.3895244598389; L+_avgLFQ=29.8114151954651; D-_D+(logFC)=-0.19937086105350232; L-_L+(logFC)=-0.4218907356261994,old_locus_tag,Model-Supported,stress-responsive protein Ycf46,Other / unassigned,Novel/uncertain candidate,354.0,0.25,0.5057471264367817,174,174,False
GF_00015,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,1,Npun_F0518,WP_012407316.1,SpoVK; Vesicle-fusing ATPase.,Log2 Ratio (Heterocyst/Filaments)=-1.7553222698615054; Variability [%]=7.28798547902832; Peptide Pair Count=3;3,old_locus_tag,Model-Supported,stress-responsive protein Ycf46,Other / unassigned,Novel/uncertain candidate,354.0,0.25,0.5057471264367817,174,174,False
GF_00015,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_5335,WP_013325252.1,ref|YP_003890489.1| AAA ATPase central domain-containing protein [Cyanothece sp. PCC 7822],CT_D0=1.37108122353267; CT_D3=1.402479432; CT_L0=1.21580196960526; CT_L3=1.13023290241561,old_locus_tag,Model-Supported,stress-responsive protein Ycf46,Other / unassigned,Novel/uncertain candidate,354.0,0.25,0.5057471264367817,174,174,False
GF_00017,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_1046,WP_011610804.1,Tery_1046 glr4290 protein of unknown function DUF1257 [Trichodesmium erythraeum IMS101: NC_008312],mean_relative_abundance=5.786; max=9.763@0h; min=1.801@9h; dynamic_range=7.962,old_locus_tag,Model-Supported,DUF1257 domain-containing protein,Stress / membrane / uncharacterized,Novel/uncertain candidate,266.0,0.2814992025518341,0.4014869888475836,269,269,False
GF_00017,Panda_2025_Crocosphaera_ATCC51142,Panda et al. 2025,Crocosphaera subtropica ATCC 51142,1,cce_3627,WP_009545214.1,DUF1257-containing protein,Two-way ANOVA p value nitrate=0.0633229114019752; Two-way ANOVA p value lightordark=0.374147904687031; Two-way ANOVA p value Interaction=0.0174397969313634; D-_avgLFQ=27.073392868042; D+_avgLFQ=27.4227619171143; L-_avgLFQ=27.976019859314; L+_avgLFQ=25.6104779243469; D-_D+(logFC)=-0.34936904907230115; L-_L+(logFC)=2.3655419349671014,old_locus_tag,Model-Supported,DUF1257 domain-containing protein,Stress / membrane / uncharacterized,Novel/uncertain candidate,266.0,0.2814992025518341,0.4014869888475836,269,269,False
GF_00017,Welkie_2014_Cyanothece_PCC7822,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,1,Cyan7822_5334,WP_013325251.1,ref|YP_003890488.1| hypothetical protein Cyan7822_5334 [Cyanothece sp. PCC 7822],CT_D0=1.26381524453267; CT_D3=1.07659474; CT_L0=0.878661089605263; CT_L3=1.90052445241561,old_locus_tag,Model-Supported,DUF1257 domain-containing protein,Stress / membrane / uncharacterized,Novel/uncertain candidate,266.0,0.2814992025518341,0.4014869888475836,269,269,False
GF_00018,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,2,Npun_F4396,WP_012410730.1,TktA; Transketolase.,Log2 Ratio (Heterocyst/Filaments)=-2.356228413146334; Variability [%]=19.9370590734602; Peptide Pair Count=7;2 | Log2 Ratio (Heterocyst/Filaments)=-2.356228413146334; Variability [%]=19.9370590734602; Peptide Pair Count=7;2,old_locus_tag,Model-Supported,transketolase C-terminal domain-containing protein,Other / unassigned,Novel/uncertain candidate,29.0,0.7280701754385965,0.5441176470588235,68,68,False
GF_00036,Sandh_2014_Nostoc_punctiforme,Sandh et al. 2014,Nostoc punctiforme PCC 73102,1,Npun_F6393,WP_012412604.1,infC; Initiation factor 3,Log2 Ratio (Heterocyst/Filaments)=0.2651963097626159; Variability [%]=12.3190723827474; Peptide Pair Count=2;3,old_locus_tag,Model-Supported,translation initiation factor IF-3,Other / unassigned,Novel/uncertain candidate,89.0,0.4362041467304625,0.7659574468085106,94,94,False
GF_00043,Held_2022_Trichodesmium_IMS101,Held et al. 2022,Trichodesmium erythraeum IMS101,1,Tery_5078,WP_011614274.1,"Tery_5078 Transketolase, central region [Trichodesmium erythraeum IMS101: NC_008312]",mean_relative_abundance=51.65; max=71.55@12h; min=43.74@11h; dynamic_range=27.81,old_locus_tag,Model-Supported,alpha-ketoacid dehydrogenase subunit beta,Other / unassigned,FOX-consistent support function (plausible rediscovery),127.0,0.6427432216905902,0.4192307692307692,260,260,False
