priority_tier,gene_family,candidate_set,product,module_bin,story_role,composite_evidence_score,accessory_story_score,scope_adjusted_story_score,model_score,literature_proteomics_score,related_atlas_score,related_atlas_scope_adjustment_score,related_atlas_applicability,condensate_score,morphotype_breadth_score,story_penalty,n_literature_active_phase_up_studies,active_phase_up_studies,active_phase_up_context_groups,active_phase_up_organisms,n_active_phase_up_source_proteins_total,active_phase_up_representative_protein_names,active_phase_up_alignment_classes,n_literature_nfix_response_studies,nfix_response_studies,nfix_response_context_groups,nfix_response_organisms,n_nfix_response_source_proteins_total,nfix_response_types,nfix_response_directions,max_nfix_response_strength,n_literature_mapped_studies,mapped_literature_studies,mapped_literature_organisms,related_atlas_match,aryal_product,aryal_consensus_rank_pct_mean,exact_product_match,condensate_family_percentile,condensate_best_score,primary_bridge_broad_ge1u_ge1f,strict_unicellular_breadth_ge3u_ge1f,nif_or_nitrogenase_audit,housekeeping_lineage_flag,hgt_passenger_flag,evidence_alignment_summary,best_rank,consensus_rank_pct_mean,diazotroph_pct_mean,diazotroph_pct_max,n_models_with_importance,n_run_model_hits,n_member_genomes,n_member_proteins,gene_top100_overlap,gene_top100_ranks,strict_bridge_ge1u_ge1f,broad_unicellular_breadth_ge3u_ge1f,broad_unicellular_breadth_ge3u_ge3f,strict_unicellular_breadth_ge3u_ge3f,broad_unicellular_genomes,broad_unicellular_genera,broad_unicellular_genera_list,broad_filamentous_proxy_genomes,broad_filamentous_proxy_genera,broad_filamentous_proxy_genera_list,strict_unicellular_genomes,strict_unicellular_genera,strict_unicellular_genera_list,strict_filamentous_proxy_genomes,strict_filamentous_proxy_genera,strict_filamentous_proxy_genera_list,n_mapped_study_family_rows,n_mapped_source_proteins_total,mapped_source_protein_keys,mapped_representative_protein_names,n_nfix_response_study_family_rows,nfix_response_source_protein_keys,nfix_response_representative_protein_names,nfix_response_criteria,nfix_response_metric_examples,nfix_response_context_count,nfix_response_has_unicellular,nfix_response_has_heterocyst,nfix_response_has_trichodesmium,n_active_phase_up_study_family_rows,active_phase_up_source_protein_keys,active_phase_up_metric_examples,active_phase_up_context_count,active_phase_up_has_unicellular,active_phase_up_has_heterocyst,active_phase_up_has_trichodesmium,aryal_gene,aryal_module_bin,frac_assemblies_proximal,fisher_p_vs_background,condensate_mapped_rows,condensate_family_rank,condensate_label_names,condensate_label_sources,condensate_top1,condensate_top5,condensate_top10,condensate_top20
Tier HP: evidence-supported high-purity marker,GF_01652,Highly Pure,cytochrome c oxidase subunit I,Respiration & bioenergetics,Respiration and bioenergetics,5.25,5.25,5.75,1.0,1.0,0.5,0.5,not applicable by collaborator-atlas scope,0.0,2.75,0.0,1,Held et al. 2022,nonheterocystous filament,Trichodesmium erythraeum IMS101,1.0,Tery_0277 Cytochrome-c oxidase [Trichodesmium erythraeum IMS101: NC_008312],active_phase_daytime_high,1,Held et al. 2022,nonheterocystous filament,Trichodesmium erythraeum IMS101,1.0,relative diel dynamic in N-fixing culture,diel dynamic,0.7665083135391924,1,Held et al. 2022,Trichodesmium erythraeum IMS101,True,NADH-quinone oxidoreductase subunit NuoH,0.4203037108836649,False,0.2448512585812357,2.435933001730984e-05,True,True,False,False,False,Highly Pure; 1 active-phase-up proteomics context; related protein-family atlas concordance; cross-morphotype bridge,,,0.9863013698630136,0.9863013698630136,0,0,73,73,0,,True,True,True,True,8,4,Crocosphaera; Cyanobacterium; Gloeothece; cyanobacterium,64,18,'Nostoc; Aliinostoc; Anabaena; Calothrix; Capilliphycus; Chlorogloeopsis; Cylindrospermopsis; Dolichospermum; Fischerella; Halotia; Nodularia; Nostoc; Nostocales; Okeanomitos; Richelia; Tolypothrix; Trichodesmium; Trichormus,7,3,Crocosphaera; Gloeothece; cyanobacterium,65,19,'Nostoc; Aliinostoc; Anabaena; Calothrix; Capilliphycus; Chlorogloeopsis; Cyanobacterium; Cylindrospermopsis; Dolichospermum; Fischerella; Halotia; Nodularia; Nostoc; Nostocales; Okeanomitos; Richelia; Tolypothrix; Trichodesmium; Trichormus,1.0,1.0,Tery_0277,Tery_0277 Cytochrome-c oxidase [Trichodesmium erythraeum IMS101: NC_008312],1.0,Tery_0277,Tery_0277 Cytochrome-c oxidase [Trichodesmium erythraeum IMS101: NC_008312],dynamic_range / mean_relative_abundance >= 0.5,mean_relative_abundance=8.42; max=12.29@14h; min=5.841@12h; dynamic_range=6.454,1.0,False,False,True,1.0,Tery_0277,max_hour=14; min_hour=12,1.0,False,False,True,nuoH,Other / unassigned,0.0374,0.8928,1.0,321.0,,,False,False,False,False
Tier HP: evidence-supported high-purity marker,GF_01882,Highly Pure,hydrogenase,Other / unassigned,Other / unassigned,4.75,4.75,5.75,1.0,2.5,0.0,1.0,not applicable by collaborator-atlas scope,0.0,1.25,0.0,2,Held et al. 2022; Welkie et al. 2014,nonheterocystous filament; unicellular,Gloeothece verrucosa PCC 7822; Trichodesmium erythraeum IMS101,2.0,"Tery_3369 NADH ubiquinone oxidoreductase, 20 kDa subunit [Trichodesmium erythraeum IMS101: NC_008312] | ref|YP_003886933.1| NADH ubiquinone oxidoreductase 20 kDa subunit [Cyanothece sp. PCC 7822]",active_phase_CT_D_window_high; active_phase_daytime_high,2,Held et al. 2022; Welkie et al. 2014,nonheterocystous filament; unicellular,Gloeothece verrucosa PCC 7822; Trichodesmium erythraeum IMS101,2.0,diel dynamic in N-fixing culture; relative diel dynamic in N-fixing culture,diel dynamic,2.735996161688857,2,Held et al. 2022; Welkie et al. 2014,Gloeothece verrucosa PCC 7822; Trichodesmium erythraeum IMS101,False,,,False,0.5919145690312738,2.181303142345316e-06,True,False,False,False,False,Highly Pure; 2 active-phase-up proteomics contexts; cross-morphotype bridge,,,0.9859154929577464,0.9859154929577464,0,0,71,71,0,,True,False,False,False,2,1,Gloeothece,68,18,'Nostoc; Aliinostoc; Anabaena; Calothrix; Capilliphycus; Chlorogloeopsis; Cylindrospermopsis; Dolichospermum; Fischerella; Halotia; Nodularia; Nostoc; Nostocales; Okeanomitos; Richelia; Tolypothrix; Trichodesmium; Trichormus,2,1,Gloeothece,68,18,'Nostoc; Aliinostoc; Anabaena; Calothrix; Capilliphycus; Chlorogloeopsis; Cylindrospermopsis; Dolichospermum; Fischerella; Halotia; Nodularia; Nostoc; Nostocales; Okeanomitos; Richelia; Tolypothrix; Trichodesmium; Trichormus,2.0,2.0,Cyan7822_1668;Tery_3369,"Tery_3369 NADH ubiquinone oxidoreductase, 20 kDa subunit [Trichodesmium erythraeum IMS101: NC_008312] | ref|YP_003886933.1| NADH ubiquinone oxidoreductase 20 kDa subunit [Cyanothece sp. PCC 7822]",2.0,Cyan7822_1668;Tery_3369,"Tery_3369 NADH ubiquinone oxidoreductase, 20 kDa subunit [Trichodesmium erythraeum IMS101: NC_008312] | ref|YP_003886933.1| NADH ubiquinone oxidoreductase 20 kDa subunit [Cyanothece sp. PCC 7822]",dynamic range across reported CT_D/CT_L N-fixing time points >= 1.0 | dynamic_range / mean_relative_abundance >= 0.5,CT_D0=1.34612714853267; CT_D3=2.084813263; CT_L0=1.00882328760526; CT_L3=0.679831828415608 | mean_relative_abundance=0.8337; max=2.281@6h; min=0@4h; dynamic_range=2.281,2.0,True,False,True,2.0,Cyan7822_1668;Tery_3369,max=CT_D3; min=CT_L3 | max_hour=6; min_hour=4,2.0,True,False,True,,,,,2.0,776.0,,,False,False,False,False
Tier HP: evidence-supported high-purity marker,GF_01658,Highly Pure,NAD(P)H-quinone oxidoreductase subunit M,Other / unassigned,Respiration and bioenergetics,4.25,4.25,4.75,1.0,0.0,0.5,0.5,not applicable by collaborator-atlas scope,0.0,2.75,0.0,0,,,,,,,0,,,,,,,,1,Welkie et al. 2014,Gloeothece verrucosa PCC 7822,True,DUF433 domain-containing protein,0.7160659602664561,False,0.5484363081617086,2.7361171089724126e-06,True,True,False,False,False,Highly Pure; related protein-family atlas concordance; cross-morphotype bridge,,,0.96,0.96,0,0,75,75,0,,True,True,True,True,6,4,Chroococcidiopsis; Gloeothece; Pleurocapsa; cyanobacterium,66,17,'Nostoc; Aliinostoc; Anabaena; Calothrix; Chlorogloeopsis; Cylindrospermopsis; Dolichospermum; Fischerella; Halotia; Nodularia; Nostoc; Nostocales; Okeanomitos; Richelia; Rivularia; Tolypothrix; Trichormus,3,2,Gloeothece; cyanobacterium,69,19,'Nostoc; Aliinostoc; Anabaena; Calothrix; Chlorogloeopsis; Chroococcidiopsis; Cylindrospermopsis; Dolichospermum; Fischerella; Halotia; Nodularia; Nostoc; Nostocales; Okeanomitos; Pleurocapsa; Richelia; Rivularia; Tolypothrix; Trichormus,1.0,1.0,Cyan7822_1270,ref|YP_003886548.1| NAD(P)H-quinone oxidoreductase subunit M [Cyanothece sp. PCC 7822],,,,,,,False,False,False,,,,,False,False,False,,Stress / membrane / uncharacterized,0.0208,0.94143,1.0,719.0,,,False,False,False,False
Tier HP: evidence-supported high-purity marker,GF_00086,Highly Pure,nucleoside deaminase,Other / unassigned,Other / unassigned,3.75,3.75,4.75,1.0,0.0,0.0,1.0,not applicable by collaborator-atlas scope,0.0,2.75,0.0,0,,,,,,,1,Sandh et al. 2014,heterocyst,Nostoc punctiforme PCC 73102,1.0,heterocyst/filament differential,filament/vegetative-enriched,2.908853566355469,2,Sandh et al. 2014; Welkie et al. 2014,Gloeothece verrucosa PCC 7822; Nostoc punctiforme PCC 73102,False,,,False,0.5682684973302822,2.46717054770008e-06,True,True,False,False,False,Highly Pure; 1 broad N-fix-responsive proteomics context (not scored); cross-morphotype bridge,,,0.9545454545454546,0.9545454545454546,0,0,66,66,0,,True,True,True,True,7,5,Chroococcidiopsis; Crocosphaera; Gloeothece; Pleurocapsa; Rippkaea,56,15,'Nostoc; Aliinostoc; Anabaena; Calothrix; Chlorogloeopsis; Dolichospermum; Fischerella; Halotia; Nodularia; Nostoc; Nostocales; Okeanomitos; Richelia; Tolypothrix; Trichormus,4,3,Crocosphaera; Gloeothece; Rippkaea,59,17,'Nostoc; Aliinostoc; Anabaena; Calothrix; Chlorogloeopsis; Chroococcidiopsis; Dolichospermum; Fischerella; Halotia; Nodularia; Nostoc; Nostocales; Okeanomitos; Pleurocapsa; Richelia; Tolypothrix; Trichormus,2.0,3.0,Cyan7822_4930;Npun_F6608,CumB; Cytosine deaminase. | ref|YP_003890096.1| CMP/dCMP deaminase zinc-binding protein [Cyanothece sp. PCC 7822],2.0,Npun_F6608,CumB; Cytosine deaminase.,abs heterocyst/filament log2 ratio >= 1.0,Log2 Ratio (Heterocyst/Filaments)=-2.908853566355469; Variability [%]=25.1558435539609; Peptide Pair Count=3;2 | Log2 Ratio (Heterocyst/Filaments)=-2.908853566355469; Variability [%]=25.1558435539609; Peptide Pair Count=3;2,1.0,False,True,False,,,,,False,False,False,,,,,2.0,745.0,,,False,False,False,False
Tier HP: evidence-supported high-purity marker,GF_01389,Highly Pure,NAD(P)H-dependent oxidoreductase,Other / unassigned,Other / unassigned,3.55,3.55,4.55,1.0,1.0,0.0,1.0,not applicable by collaborator-atlas scope,0.3,1.25,0.0,1,Sandh et al. 2014,heterocyst,Nostoc punctiforme PCC 73102,1.0,"Predicted homoserine dehydrogenase P and T, alr2831",active_phase_heterocyst_enriched,1,Sandh et al. 2014,heterocyst,Nostoc punctiforme PCC 73102,1.0,heterocyst/filament differential,heterocyst-enriched,1.4629841546819875,1,Sandh et al. 2014,Nostoc punctiforme PCC 73102,False,,,False,0.0816170861937452,0.0006967498019141,True,False,False,False,False,Highly Pure; 1 active-phase-up proteomics context; condensate-ranked; cross-morphotype bridge,,,0.9375,0.9375,0,0,80,80,0,,False,False,False,False,2,1,Chroococcidiopsis,73,21,'Nostoc; Aliinostoc; Anabaena; Calothrix; Chlorogloeopsis; Cylindrospermopsis; Dolichospermum; Fischerella; Halotia; Leptodesmis; Leptolyngbya; Nodularia; Nostoc; Nostocales; Okeanomitos; Richelia; Rivularia; Thermocoleostomius; Thermoleptolyngbya; Tolypothrix; Trichormus,0,0,,75,22,'Nostoc; Aliinostoc; Anabaena; Calothrix; Chlorogloeopsis; Chroococcidiopsis; Cylindrospermopsis; Dolichospermum; Fischerella; Halotia; Leptodesmis; Leptolyngbya; Nodularia; Nostoc; Nostocales; Okeanomitos; Richelia; Rivularia; Thermocoleostomius; Thermoleptolyngbya; Tolypothrix; Trichormus,1.0,1.0,Npun_R1072,"Predicted homoserine dehydrogenase P and T, alr2831",1.0,Npun_R1072,"Predicted homoserine dehydrogenase P and T, alr2831",abs heterocyst/filament log2 ratio >= 1.0,Log2 Ratio (Heterocyst/Filaments)=1.4629841546819875; Variability [%]=7.10229371397926; Peptide Pair Count=9;7,1.0,False,True,False,1.0,Npun_R1072,heterocyst_filament_log2_ratio=1.463,1.0,False,True,False,,,,,2.0,107.0,,,False,False,True,True
