gene_family	effect_size_mean	effect_size_median	effect_size_max	n_runs_with_directionality	is_positive_assoc	diazotroph_pct_mean	diazotroph_pct_max	is_pure_any	n_runs_with_purity	is_pure_pos_any	is_pure_neg_any	n_models_with_importance	n_run_model_hits	consensus_rank_pct_mean	consensus_rank_pct_median	best_rank	module_mode	n_runs_with_module	used_in_any_final_set	product	go_ids	locus_tag	n_member_proteins	n_member_genomes	example_proteins	example_genomes
GF_00000					False	0.0	0.0	True	1	False	True	0	0						False							
GF_00001					False	0.9791666666666666	0.9791666666666666	True	1	True	False	0	0						False	ACP S-malonyltransferase		ACN23B_RS01205	48.0	48.0	GCF_000009705.1;GCF_048568235.1;GCF_009498015.1;GCF_000204075.1;GCF_048568275.1;GCF_009856605.1;GCF_001548375.1;GCF_000316625.1;GCF_002896875.1;GCF_022063185.1	GCF_000009705.1;GCF_048568235.1;GCF_009498015.1;GCF_000204075.1;GCF_048568275.1;GCF_009856605.1;GCF_001548375.1;GCF_000316625.1;GCF_002896875.1;GCF_022063185.1
GF_00002	0.761310972560264	0.761310972560264	0.761310972560264	1.0	True	0.8651685393258427	0.8651685393258427	False	1	False	False	4	4	0.5023923444976076	0.4059011164274322	16.0			False	NIL domain-containing protein		ACN23B_RS02840	89.0	89.0	GCF_000009705.1;GCF_000196515.1;GCF_003054475.1;GCF_002813575.1;GCF_022376295.1;GCF_002368455.1;GCF_009498015.1;GCF_032620035.1;GCF_002896875.1;GCF_013393905.1	GCF_000009705.1;GCF_000196515.1;GCF_003054475.1;GCF_002813575.1;GCF_022376295.1;GCF_002368455.1;GCF_009498015.1;GCF_032620035.1;GCF_002896875.1;GCF_013393905.1
GF_00003					False	0.9772727272727272	0.9772727272727272	True	1	True	False	0	0						False	alpha/beta fold hydrolase		ACN23B_RS05805	44.0	44.0	GCF_000009705.1;GCF_009856605.1;GCF_022063185.1;GCF_048568275.1;GCF_048568235.1;GCF_000204075.1;GCF_009498015.1;GCF_013393945.1;GCF_017164015.1;GCF_001548375.1	GCF_000009705.1;GCF_009856605.1;GCF_022063185.1;GCF_048568275.1;GCF_048568235.1;GCF_000204075.1;GCF_009498015.1;GCF_013393945.1;GCF_017164015.1;GCF_001548375.1
GF_00004					False	1.0	1.0	True	1	True	False	0	0						False	hypothetical protein		ACN23B_RS06690	41.0	41.0	GCF_000009705.1;GCF_009856605.1;GCF_022063185.1;GCF_000204075.1;GCF_002896875.1;GCF_009498015.1;GCF_050235535.1;GCF_048568235.1;GCF_048568275.1;GCF_000316645.1	GCF_000009705.1;GCF_009856605.1;GCF_022063185.1;GCF_000204075.1;GCF_002896875.1;GCF_009498015.1;GCF_050235535.1;GCF_048568235.1;GCF_048568275.1;GCF_000316645.1
GF_00005					False	1.0	1.0	True	1	True	False	0	0						False	multicopper oxidase domain-containing protein		ACN23B_RS19810	40.0	40.0	GCF_000009705.1;GCF_009498015.1;GCF_000204075.1;GCF_009856605.1;GCF_048568235.1;GCF_048568275.1;GCF_009873495.1;GCF_025677855.1;GCF_009372195.1;GCF_043099725.1	GCF_000009705.1;GCF_009498015.1;GCF_000204075.1;GCF_009856605.1;GCF_048568235.1;GCF_048568275.1;GCF_009873495.1;GCF_025677855.1;GCF_009372195.1;GCF_043099725.1
GF_00006					False	1.0	1.0	True	1	True	False	0	0						False	NAD(P)/FAD-dependent oxidoreductase		ACN23B_RS20595	49.0	49.0	GCF_000009705.1;GCF_011769525.1;GCF_013393945.1;GCF_025677855.1;GCF_000317695.1;GCF_025860405.1;GCF_000204075.1;GCF_001548455.1;GCF_022376295.1;GCF_050235535.1	GCF_000009705.1;GCF_011769525.1;GCF_013393945.1;GCF_025677855.1;GCF_000317695.1;GCF_025860405.1;GCF_000204075.1;GCF_001548455.1;GCF_022376295.1;GCF_050235535.1
GF_00007					False	0.9818181818181818	0.9818181818181818	True	1	True	False	0	0						False	tryptophan synthase subunit alpha		ACN23B_RS24150	55.0	55.0	GCF_000009705.1;GCF_000204075.1;GCF_048568275.1;GCF_048568235.1;GCF_022376295.1;GCF_038096175.1;GCF_000316645.1;GCF_047275885.1;GCF_038050375.1;GCF_022063185.1	GCF_000009705.1;GCF_000204075.1;GCF_048568275.1;GCF_048568235.1;GCF_022376295.1;GCF_038096175.1;GCF_000316645.1;GCF_047275885.1;GCF_038050375.1;GCF_022063185.1
GF_00008	-0.1348689046802254	-0.1348689046802254	-0.1348689046802254	1.0	False	0.1454545454545454	0.1454545454545454	False	1	False	False	4	4	0.13995215311004786	0.14832535885167464	501.0			False							
GF_00009					False	0.03125	0.03125	True	1	False	True	0	0						False							
GF_00010					False	0.0227272727272727	0.0227272727272727	True	1	False	True	0	0						False							
GF_00011	-0.1446776611694152	-0.1446776611694152	-0.1446776611694152	1.0	False	0.1379310344827586	0.1379310344827586	False	1	False	False	4	4	0.7874800637958532	0.9059011164274322	43.0			False							
GF_00012	-0.1289832119100411	-0.1289832119100411	-0.1289832119100411	1.0	False	0.1463414634146341	0.1463414634146341	False	1	False	False	4	4	0.5199362041467305	0.5462519936204147	87.0			False							
GF_00013	-0.0143979057591622	-0.0143979057591622	-0.0143979057591622	1.0	False	0.25	0.25	False	1	False	False	4	4	0.6004784688995215	0.5757575757575758	19.0			False							
GF_00014	-0.0847791997571956	-0.0847791997571956	-0.0847791997571956	1.0	False	0.1886792452830188	0.1886792452830188	False	1	False	False	4	4	0.6064593301435407	0.6459330143540669	150.0			False							
