gene_family,n_loci_in_cds,n_assemblies_in_cds,n_proximal_loci,n_proximal_assemblies,frac_assemblies_proximal,fisher_p_vs_background,hgt_passenger_flag,gene,product,module_bin,consensus_rank_pct_mean,used_in_any_final_set
GF_00975,103,79,25,25,0.3165,0.00042,True,cysK,cysteine synthase A,Other / unassigned,0.1297666902303358,True
GF_00671,109,109,30,30,0.2752,2e-05,False,,type I glyceraldehyde-3-phosphate dehydrogenase,Other / unassigned,0.5833452520100859,True
GF_01071,53,52,11,11,0.2115,0.02081,False,,type II toxin-antitoxin system Phd/YefM family antitoxin,Other / unassigned,0.6681715403017445,True
GF_02205,135,131,27,27,0.2061,0.001,False,ctaD,cytochrome c oxidase subunit I,Respiration & bioenergetics,0.8761780410152099,True
GF_00355,40,40,7,7,0.175,0.15546,False,ndk,nucleoside-diphosphate kinase,Other / unassigned,0.9442651061690112,True
GF_01602,46,46,8,8,0.1739,0.09864,False,rbfA,30S ribosome-binding factor RbfA,Housekeeping / lineage marker,0.474998143044947,True
GF_00387,112,102,17,17,0.1667,0.02502,False,ctaD,cytochrome c oxidase subunit I,Respiration & bioenergetics,0.98759465420856,True
GF_02443,58,58,9,9,0.1552,0.11921,False,,peroxiredoxin,O2 protection & redox homeostasis,0.4530918132025984,True
GF_01953,56,56,8,8,0.1429,0.1801,False,,histidine triad nucleotide-binding protein,Other / unassigned,0.3550884634445377,True
GF_01103,81,81,11,11,0.1358,0.09335,False,,metal ABC transporter permease,Transport,0.3531971935911503,True
GF_00186,74,74,10,10,0.1351,0.13788,False,efp,elongation factor P,Other / unassigned,0.5206542045506085,True
GF_01087,66,60,9,8,0.1333,0.121,False,,DUF433 domain-containing protein,Stress / membrane / uncharacterized,0.6356893879877361,True
GF_00595,45,45,6,6,0.1333,0.24225,False,,NAD(P)H-quinone oxidoreductase subunit N,Other / unassigned,0.4932255347325019,True
GF_00199,72,72,9,9,0.125,0.19984,False,,2Fe-2S iron-sulfur cluster-binding protein,Metallocluster & Fe-S biogenesis,0.3024843009661396,True
GF_01199,57,56,7,7,0.125,0.26387,False,,4Fe-4S dicluster domain-containing protein,Metallocluster & Fe-S biogenesis,0.8642741225591475,True
GF_01967,194,194,24,24,0.1237,0.04138,False,ychF,redox-regulated ATPase YchF,O2 protection & redox homeostasis,0.3624407568170677,True
GF_01043,141,141,17,17,0.1206,0.07425,False,purU,formyltetrahydrofolate deformylase,Other / unassigned,0.4683556025953587,True
GF_01031,75,75,9,9,0.12,0.20035,False,,Bax inhibitor-1 family protein,Other / unassigned,0.2407998592712768,True
GF_02403,127,127,15,15,0.1181,0.09433,False,psbH,photosystem II reaction center phosphoprotein PsbH,Housekeeping / lineage marker,0.9509186336887804,True
GF_02131,87,69,9,8,0.1159,0.29523,False,,zinc-dependent alcohol dehydrogenase,Other / unassigned,0.8029221473065188,True
GF_02106,110,105,12,12,0.1143,0.16866,False,,Npun_R2479 family HD domain-containing metalloprotein,Other / unassigned,0.5527263691507597,True
GF_00028,115,115,13,13,0.113,0.12074,False,,hypothetical protein,Stress / membrane / uncharacterized,0.4628781534976299,True
GF_01905,63,62,7,7,0.1129,0.26493,False,,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein,Other / unassigned,0.5883618684124435,True
GF_02373,74,74,8,8,0.1081,0.28151,False,,NADH-quinone oxidoreductase subunit K,Other / unassigned,0.7877205331515666,True
GF_00439,88,88,9,9,0.1023,0.29533,False,,photosystem II reaction center protein I,Housekeeping / lineage marker,0.7104220266028722,True
GF_00688,150,108,11,11,0.1019,0.5,False,,RNA recognition motif domain-containing protein,Other / unassigned,0.3127923189220411,True
GF_01958,69,69,7,7,0.1014,0.2658,False,ntrB,nitrate ABC transporter permease,Transport,0.182651557834998,True
GF_00610,61,61,6,6,0.0984,0.3716,False,,response regulator transcription factor,Regulation,0.191982914990941,True
GF_00646,41,41,4,4,0.0976,0.5,False,,DUF433 domain-containing protein,Stress / membrane / uncharacterized,0.2303649175827085,True
GF_00184,134,134,13,13,0.097,0.25263,False,uvrB,excinuclease ABC subunit UvrB,Other / unassigned,0.2873903526894061,True
GF_00615,124,124,12,12,0.0968,0.24254,False,,aminodeoxychorismate/anthranilate synthase component II,Other / unassigned,0.3327931569569928,True
GF_02159,85,85,8,8,0.0941,0.39068,False,,glycosyltransferase family 2 protein,Other / unassigned,0.2951524984632979,True
GF_00616,47,43,4,4,0.093,0.5,False,,CPBP family intramembrane glutamic endopeptidase,Stress / membrane / uncharacterized,0.4596313094859037,True
GF_00670,98,98,9,9,0.0918,0.29623,False,rpsU,30S ribosomal protein S21,Housekeeping / lineage marker,0.8383143637649302,True
GF_01022,98,98,9,9,0.0918,0.29623,False,,asparagine--tRNA ligase,Housekeeping / lineage marker,0.4034318274431743,True
GF_00397,120,120,11,11,0.0917,0.31681,False,ndk,nucleoside-diphosphate kinase,Other / unassigned,0.9468945877751396,True
GF_01922,99,99,9,9,0.0909,0.2963,False,,(Fe-S)-binding protein,Metallocluster & Fe-S biogenesis,0.3446981272519381,True
GF_01537,45,44,4,4,0.0909,0.5,False,,bleomycin hydrolase,Other / unassigned,0.4400513303691709,True
GF_02157,235,121,22,11,0.0909,0.15204,False,prfB,peptide chain release factor 2,Other / unassigned,0.4032527233870338,True
GF_00823,168,168,15,15,0.0893,0.27048,False,hisB,imidazoleglycerol-phosphate dehydratase HisB,Other / unassigned,0.5794639173503259,True
GF_00241,79,79,7,7,0.0886,0.38268,False,,secondary thiamine-phosphate synthase enzyme YjbQ,Other / unassigned,0.3669176833453335,True
GF_01494,69,68,6,6,0.0882,0.37226,False,rpsU,30S ribosomal protein S21,Housekeeping / lineage marker,0.2920584917418151,True
GF_01206,57,57,5,5,0.0877,0.5,False,,response regulator transcription factor,Regulation,0.4276488965067664,True
GF_00077,80,80,7,7,0.0875,0.38274,False,trpS,tryptophan--tRNA ligase,Housekeeping / lineage marker,0.4187636304122785,True
GF_00172,82,82,7,7,0.0854,0.38285,False,purB,adenylosuccinate lyase,Other / unassigned,0.2717971426586972,True
GF_01909,360,131,11,11,0.084,0.98946,False,gvpA,gas vesicle structural protein GvpA,Other / unassigned,0.7311588770707015,True
GF_00506,91,48,8,4,0.0833,0.391,False,,ATP-binding protein,Other / unassigned,0.5957638150474789,True
GF_02361,62,61,5,5,0.082,0.5,False,,type II toxin-antitoxin system HicB family antitoxin,Other / unassigned,0.6227133861504562,True
GF_00128,49,49,4,4,0.0816,0.5,False,,membrane protein,Stress / membrane / uncharacterized,0.2775787683871105,True
GF_01198,62,62,5,5,0.0806,0.5,False,,glutathione peroxidase,Respiration & bioenergetics,0.372766046604806,True
GF_02209,62,62,5,5,0.0806,0.5,False,,RtcB family protein,Other / unassigned,0.6253303286387469,True
GF_00177,202,175,14,14,0.08,0.5,False,ilvD,dihydroxy-acid dehydratase,Other / unassigned,0.7105652904882727,True
GF_00721,101,101,8,8,0.0792,0.5,False,,DUF6679 family protein,Stress / membrane / uncharacterized,0.4167681944652343,True
GF_00320,89,89,7,7,0.0787,0.5,False,chlG,chlorophyll synthase ChlG,Other / unassigned,0.4485969495796436,True
GF_01630,129,129,10,10,0.0775,0.40386,False,,fasciclin domain-containing protein,Other / unassigned,0.368724663658436,True
GF_00877,104,104,8,8,0.0769,0.5,False,,hypothetical protein,Stress / membrane / uncharacterized,0.4028747308252044,True
GF_00364,66,66,5,5,0.0758,0.5,False,,adenylosuccinate synthase,Other / unassigned,0.2092586005297414,True
GF_02440,121,121,9,9,0.0744,0.5,False,ahcY,adenosylhomocysteinase,Other / unassigned,0.5404390242619569,True
GF_00209,54,54,4,4,0.0741,0.64206,False,proS,proline--tRNA ligase,Housekeeping / lineage marker,0.7336710280921743,True
GF_00011,108,108,8,8,0.0741,0.5,False,,hypothetical protein,Stress / membrane / uncharacterized,0.371939190703744,True
GF_00148,122,122,9,9,0.0738,0.5,False,clpP_2,ATP-dependent Clp protease proteolytic subunit,Other / unassigned,0.613117823835977,True
GF_01682,68,68,5,5,0.0735,0.5,False,hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,Other / unassigned,0.3060761328510867,True
GF_02073,655,300,26,22,0.0733,0.98733,False,psbA,photosystem II q(b) protein,Housekeeping / lineage marker,0.4611590392857463,True
GF_00686,97,96,7,7,0.0729,0.5,False,,sigma-70 family RNA polymerase sigma factor,Housekeeping / lineage marker,0.6883392961213594,True
GF_01816,57,55,4,4,0.0727,0.64176,False,cysK,cysteine synthase A,Other / unassigned,0.276189089158029,True
GF_00149,139,139,10,10,0.0719,0.5,False,serA,D-3-phosphoglycerate dehydrogenase,Other / unassigned,0.3984559085671211,True
GF_00656,57,56,4,4,0.0714,0.64176,False,,DUF433 domain-containing protein,Stress / membrane / uncharacterized,0.8387057912658834,True
GF_00542,101,99,7,7,0.0707,0.60856,False,cas2,CRISPR-associated endonuclease Cas2,Other / unassigned,0.7306864806172615,True
GF_00274,99,99,7,7,0.0707,0.5,False,apcB,allophycocyanin subunit beta,Other / unassigned,0.5875533481156157,True
GF_01907,57,57,4,4,0.0702,0.64176,False,,DUF3285 domain-containing protein,Stress / membrane / uncharacterized,0.180736751184125,True
GF_01902,76,72,5,5,0.0694,0.62729,False,,fasciclin domain-containing protein,Other / unassigned,0.3739480200246672,True
GF_00104,289,289,20,20,0.0692,0.5,False,typA,translational GTPase TypA,Other / unassigned,0.296401765175392,True
GF_00237,145,145,10,10,0.069,0.5,False,petG,cytochrome b6-f complex subunit V,Respiration & bioenergetics,0.4561987105494716,True
