gene_family	effect_size_mean	effect_size_median	effect_size_max	n_runs_with_directionality	is_positive_assoc	diazotroph_pct_mean	diazotroph_pct_max	is_pure_any	n_runs_with_purity	is_pure_pos_any	is_pure_neg_any	n_models_with_importance	n_run_model_hits	consensus_rank_pct_mean	consensus_rank_pct_median	best_rank	module_mode	n_runs_with_module	used_in_any_final_set	product	go_ids	locus_tag	n_member_proteins	n_member_genomes	example_proteins	example_genomes	module_bin	fox_status
GF_00004					False	1.0	1.0	True	1	True	False	0	0						False	hypothetical protein		ACN23B_RS06690	41	41	GCF_000009705.1;GCF_009856605.1;GCF_022063185.1;GCF_000204075.1;GCF_002896875.1;GCF_009498015.1;GCF_050235535.1;GCF_048568235.1;GCF_048568275.1;GCF_000316645.1	GCF_000009705.1;GCF_009856605.1;GCF_022063185.1;GCF_000204075.1;GCF_002896875.1;GCF_009498015.1;GCF_050235535.1;GCF_048568235.1;GCF_048568275.1;GCF_000316645.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
GF_00005					False	1.0	1.0	True	1	True	False	0	0						False	multicopper oxidase domain-containing protein		ACN23B_RS19810	40	40	GCF_000009705.1;GCF_009498015.1;GCF_000204075.1;GCF_009856605.1;GCF_048568235.1;GCF_048568275.1;GCF_009873495.1;GCF_025677855.1;GCF_009372195.1;GCF_043099725.1	GCF_000009705.1;GCF_009498015.1;GCF_000204075.1;GCF_009856605.1;GCF_048568235.1;GCF_048568275.1;GCF_009873495.1;GCF_025677855.1;GCF_009372195.1;GCF_043099725.1	Respiration & bioenergetics	FOX-consistent support function (plausible rediscovery)
GF_00006					False	1.0	1.0	True	1	True	False	0	0						False	NAD(P)/FAD-dependent oxidoreductase		ACN23B_RS20595	49	49	GCF_000009705.1;GCF_011769525.1;GCF_013393945.1;GCF_025677855.1;GCF_000317695.1;GCF_025860405.1;GCF_000204075.1;GCF_001548455.1;GCF_022376295.1;GCF_050235535.1	GCF_000009705.1;GCF_011769525.1;GCF_013393945.1;GCF_025677855.1;GCF_000317695.1;GCF_025860405.1;GCF_000204075.1;GCF_001548455.1;GCF_022376295.1;GCF_050235535.1	Other / unassigned	Novel/uncertain candidate
GF_00099					False	1.0	1.0	True	1	True	False	0	0						False	lipid-A-disaccharide synthase		NPUN_RS14940	40	40	GCF_000020025.1;GCF_002949735.1;GCF_013343235.1;GCF_052692665.1;GCF_043099735.1;GCF_013393905.1;GCF_028623165.1;GCF_022063185.1;GCF_000316575.1;GCF_014023275.1	GCF_000020025.1;GCF_002949735.1;GCF_013343235.1;GCF_052692665.1;GCF_043099735.1;GCF_013393905.1;GCF_028623165.1;GCF_022063185.1;GCF_000316575.1;GCF_014023275.1	Other / unassigned	Novel/uncertain candidate
GF_00103					False	1.0	1.0	True	1	True	False	0	0						False	photosystem II protein Psb27		FBB35_RS05410	44	44	GCF_000020025.1;GCF_003054475.1;GCF_023734775.1;GCF_009372195.1;GCF_013393905.1;GCF_028623165.1;GCF_019056575.1;GCF_052692655.1;GCF_002949735.1;GCF_022376295.1	GCF_000020025.1;GCF_003054475.1;GCF_023734775.1;GCF_009372195.1;GCF_013393905.1;GCF_028623165.1;GCF_019056575.1;GCF_052692655.1;GCF_002949735.1;GCF_022376295.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_00140					False	1.0	1.0	True	1	True	False	0	0						False	dihydroorotase		CYAN7822_RS21220	46	46	GCF_000147335.1;GCF_000020025.1;GCF_019976755.1;GCF_002949735.1;GCF_013393905.1;GCF_009873495.1;GCF_002368175.1;GCF_048568275.1;GCF_052692665.1;GCF_013343235.1	GCF_000147335.1;GCF_000020025.1;GCF_019976755.1;GCF_002949735.1;GCF_013393905.1;GCF_009873495.1;GCF_002368175.1;GCF_048568275.1;GCF_052692665.1;GCF_013343235.1	Other / unassigned	Novel/uncertain candidate
GF_00159					False	1.0	1.0	True	1	True	False	0	0						False	DNA mismatch repair protein MutS		AAZO_RS07270	57	57	GCF_000196515.1;GCF_000020025.1;GCF_052692655.1;GCF_052692665.1;GCF_014023275.1;GCF_001548455.1;GCF_013393925.1;GCF_002949735.1;GCF_012516395.1;GCF_008121535.1	GCF_000196515.1;GCF_000020025.1;GCF_052692655.1;GCF_052692665.1;GCF_014023275.1;GCF_001548455.1;GCF_013393925.1;GCF_002949735.1;GCF_012516395.1;GCF_008121535.1	Other / unassigned	Novel/uncertain candidate
GF_00165					False	1.0	1.0	True	1	True	False	0	0						False	adenylate kinase		AAZO_RS12260	45	45	GCF_000196515.1;GCF_049315035.1;GCF_047275885.1;GCF_052692655.1;GCF_011769525.1;GCF_013393925.1;GCF_002813575.1;GCF_000020025.1;GCF_009873495.1;GCF_003054475.1	GCF_000196515.1;GCF_049315035.1;GCF_047275885.1;GCF_052692655.1;GCF_011769525.1;GCF_013393925.1;GCF_002813575.1;GCF_000020025.1;GCF_009873495.1;GCF_003054475.1	Other / unassigned	Novel/uncertain candidate
GF_00166					False	1.0	1.0	True	1	True	False	0	0						False	ferredoxin III%2C nif-specific		AAZO_RS12550	52	52	GCF_000196515.1;GCF_002896875.1;GCF_051201415.1;GCF_002368175.1;GCF_050235535.1;GCF_011769525.1;GCF_025860405.1;GCF_018139025.1;GCF_000317695.1;GCF_049315035.1	GCF_000196515.1;GCF_002896875.1;GCF_051201415.1;GCF_002368175.1;GCF_050235535.1;GCF_011769525.1;GCF_025860405.1;GCF_018139025.1;GCF_000317695.1;GCF_049315035.1	Nitrogenase / nif machinery	FOX-consistent support function (plausible rediscovery)
GF_00168					False	1.0	1.0	True	1	True	False	0	0						False	nitrogenase iron protein		AAZO_RS18310	76	76	GCF_000196515.1;GCF_025677855.1;GCF_009873495.1;GCF_008121535.1;GCF_013393945.1;GCF_002142495.1;GCF_050235535.1;GCF_043099315.1;GCF_000204075.1;GCF_000734895.2	GCF_000196515.1;GCF_025677855.1;GCF_009873495.1;GCF_008121535.1;GCF_013393945.1;GCF_002142495.1;GCF_050235535.1;GCF_043099315.1;GCF_000204075.1;GCF_000734895.2	Nitrogenase / nif machinery	Rediscovery: core diazotrophy/FOX machinery
GF_00171					False	1.0	1.0	True	1	True	False	0	0						False	Rne/Rng family ribonuclease		EH233_RS11925	40	40	GCF_000204075.1;GCF_009498015.1;GCF_009856605.1;GCF_000316625.1;GCF_013393945.1;GCF_029953635.1;GCF_022063185.1;GCF_038096175.1;GCF_002896875.1;GCF_050235535.1	GCF_000204075.1;GCF_009498015.1;GCF_009856605.1;GCF_000316625.1;GCF_013393945.1;GCF_029953635.1;GCF_022063185.1;GCF_038096175.1;GCF_002896875.1;GCF_050235535.1	Other / unassigned	Novel/uncertain candidate
GF_00172					False	1.0	1.0	True	1	True	False	0	0						False	photosystem I reaction center protein subunit XI		EH233_RS05210	51	51	GCF_000204075.1;GCF_000316625.1;GCF_048568275.1;GCF_009856605.1;GCF_000009705.1;GCF_013393945.1;GCF_048568235.1;GCF_000316645.1;GCF_009498015.1;GCF_043099735.1	GCF_000204075.1;GCF_000316625.1;GCF_048568275.1;GCF_009856605.1;GCF_000009705.1;GCF_013393945.1;GCF_048568235.1;GCF_000316645.1;GCF_009498015.1;GCF_043099735.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_00204					False	1.0	1.0	True	1	True	False	0	0						False	GNAT family N-acetyltransferase		CAL7507_RS03355	51	51	GCF_000316575.1;GCF_038096175.1;GCF_013393945.1;GCF_009372195.1;GCF_052692665.1;GCF_000316645.1;GCF_023734775.1;GCF_043099725.1;GCF_000316625.1;GCF_009873495.1	GCF_000316575.1;GCF_038096175.1;GCF_013393945.1;GCF_009372195.1;GCF_052692665.1;GCF_000316645.1;GCF_023734775.1;GCF_043099725.1;GCF_000316625.1;GCF_009873495.1	Other / unassigned	Novel/uncertain candidate
GF_00209					False	1.0	1.0	True	1	True	False	0	0						False	DNA repair protein RecN		CAL7507_RS07510	47	47	GCF_000316575.1;GCF_013343235.1;GCF_002949735.1;GCF_043099735.1;GCF_043099725.1;GCF_000020025.1;GCF_000316645.1;GCF_000316625.1;GCF_000009705.1;GCF_038096175.1	GCF_000316575.1;GCF_013343235.1;GCF_002949735.1;GCF_043099735.1;GCF_043099725.1;GCF_000020025.1;GCF_000316645.1;GCF_000316625.1;GCF_000009705.1;GCF_038096175.1	Other / unassigned	Novel/uncertain candidate
GF_00210					False	1.0	1.0	True	1	True	False	0	0						False	DICT sensory domain-containing protein		CAL7507_RS08155	44	44	GCF_000316575.1;GCF_000316625.1;GCF_013393905.1;GCF_043099725.1;GCF_052692655.1;GCF_052692665.1;GCF_009372195.1;GCF_003443655.1;GCF_002813575.1;GCF_028623165.1	GCF_000316575.1;GCF_000316625.1;GCF_013393905.1;GCF_043099725.1;GCF_052692655.1;GCF_052692665.1;GCF_009372195.1;GCF_003443655.1;GCF_002813575.1;GCF_028623165.1	Other / unassigned	Novel/uncertain candidate
GF_00211					False	1.0	1.0	True	1	True	False	0	0						False	ABC transporter ATP-binding protein		CAL7507_RS09415	40	40	GCF_000316575.1;GCF_002813575.1;GCF_002949735.1;GCF_028623165.1;GCF_002949795.1;GCF_052692655.1;GCF_013343235.1;GCF_052692665.1;GCF_043099735.1;GCF_048568235.1	GCF_000316575.1;GCF_002813575.1;GCF_002949735.1;GCF_028623165.1;GCF_002949795.1;GCF_052692655.1;GCF_013343235.1;GCF_052692665.1;GCF_043099735.1;GCF_048568235.1	Transport	Novel/uncertain candidate
GF_00212					False	1.0	1.0	True	1	True	False	0	0						False	GNAT family N-acetyltransferase		CAL7507_RS10955	41	41	GCF_000316575.1;GCF_002368175.1;GCF_025677855.1;GCF_025860405.1;GCF_011769525.1;GCF_009372195.1;GCF_013393925.1;GCF_029953635.1;GCF_002949795.1;GCF_017164015.1	GCF_000316575.1;GCF_002368175.1;GCF_025677855.1;GCF_025860405.1;GCF_011769525.1;GCF_009372195.1;GCF_013393925.1;GCF_029953635.1;GCF_002949795.1;GCF_017164015.1	Other / unassigned	Novel/uncertain candidate
GF_00215					False	1.0	1.0	True	1	True	False	0	0						False	TMEM165/GDT1 family protein		CAL7507_RS14505	49	49	GCF_000316575.1;GCF_001548455.1;GCF_029953635.1;GCF_014023275.1;GCF_019056575.1;GCF_000317695.1;GCF_000196515.1;GCF_049315035.1;GCF_038050375.1;GCF_047275885.1	GCF_000316575.1;GCF_001548455.1;GCF_029953635.1;GCF_014023275.1;GCF_019056575.1;GCF_000317695.1;GCF_000196515.1;GCF_049315035.1;GCF_038050375.1;GCF_047275885.1	Other / unassigned	Novel/uncertain candidate
GF_00216					False	1.0	1.0	True	1	True	False	0	0						False	Crp/Fnr family transcriptional regulator		CAL7507_RS15260	43	43	GCF_000316575.1;GCF_025677855.1;GCF_013393905.1;GCF_009498015.1;GCF_002368175.1;GCF_038096175.1;GCF_000020025.1;GCF_014023275.1;GCF_002949735.1;GCF_000009705.1	GCF_000316575.1;GCF_025677855.1;GCF_013393905.1;GCF_009498015.1;GCF_002368175.1;GCF_038096175.1;GCF_000020025.1;GCF_014023275.1;GCF_002949735.1;GCF_000009705.1	Regulation	Novel/uncertain candidate
GF_00222					False	1.0	1.0	True	1	True	False	0	0						False	hypothetical protein		CAL7507_RS25045	42	42	GCF_000316575.1;GCF_002163975.1;GCF_019056575.1;GCF_000316625.1;GCF_048568275.1;GCF_025860405.1;GCF_038096175.1;GCF_000009705.1;GCF_025677855.1;GCF_009873495.1	GCF_000316575.1;GCF_002163975.1;GCF_019056575.1;GCF_000316625.1;GCF_048568275.1;GCF_025860405.1;GCF_038096175.1;GCF_000009705.1;GCF_025677855.1;GCF_009873495.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
GF_00223					False	1.0	1.0	True	1	True	False	0	0						False	DEAD/DEAH box helicase		CAL7507_RS25615	51	51	GCF_000316575.1;GCF_000009705.1;GCF_048568275.1;GCF_009372195.1;GCF_009498015.1;GCF_009856605.1;GCF_000020025.1;GCF_025860405.1;GCF_002949795.1;GCF_001548375.1	GCF_000316575.1;GCF_000009705.1;GCF_048568275.1;GCF_009372195.1;GCF_009498015.1;GCF_009856605.1;GCF_000020025.1;GCF_025860405.1;GCF_002949795.1;GCF_001548375.1	Other / unassigned	Novel/uncertain candidate
GF_00224					False	1.0	1.0	True	1	True	False	0	0						False	cytochrome c biogenesis protein		CAL7507_RS26420	42	42	GCF_000316575.1;GCF_029953635.1;GCF_017164015.1;GCF_013343235.1;GCF_002949735.1;GCF_043099725.1;GCF_003443655.1;GCF_009372195.1;GCF_009873495.1;GCF_013393925.1	GCF_000316575.1;GCF_029953635.1;GCF_017164015.1;GCF_013343235.1;GCF_002949735.1;GCF_043099725.1;GCF_003443655.1;GCF_009372195.1;GCF_009873495.1;GCF_013393925.1	Respiration & bioenergetics	FOX-consistent support function (plausible rediscovery)
GF_00226					False	1.0	1.0	True	1	True	False	0	0						False	hypothetical protein		CAL7507_RS29010	40	40	GCF_000316575.1;GCF_038096175.1;GCF_022376295.1;GCF_002368175.1;GCF_025677855.1;GCF_025860405.1;GCF_011769525.1;GCF_017164015.1;GCF_009372195.1;GCF_028623165.1	GCF_000316575.1;GCF_038096175.1;GCF_022376295.1;GCF_002368175.1;GCF_025677855.1;GCF_025860405.1;GCF_011769525.1;GCF_017164015.1;GCF_009372195.1;GCF_028623165.1	Stress / membrane / uncharacterized	Novel/uncertain candidate
GF_00227					False	1.0	1.0	True	1	True	False	0	0						False	MBL fold metallo-hydrolase		CAL7507_RS29040	48	48	GCF_000316575.1;GCF_017164015.1;GCF_000204075.1;GCF_002368175.1;GCF_003443655.1;GCF_048568235.1;GCF_052692665.1;GCF_013393925.1;GCF_000009705.1;GCF_025677855.1	GCF_000316575.1;GCF_017164015.1;GCF_000204075.1;GCF_002368175.1;GCF_003443655.1;GCF_048568235.1;GCF_052692665.1;GCF_013393925.1;GCF_000009705.1;GCF_025677855.1	Other / unassigned	Novel/uncertain candidate
GF_00232					False	1.0	1.0	True	1	True	False	0	0						False	histidine phosphatase family protein		NOS7107_RS03215	44	44	GCF_000316625.1;GCF_052692655.1;GCF_000020025.1;GCF_014023275.1;GCF_002368175.1;GCF_013393925.1;GCF_025677855.1;GCF_002949795.1;GCF_003443655.1;GCF_025860405.1	GCF_000316625.1;GCF_052692655.1;GCF_000020025.1;GCF_014023275.1;GCF_002368175.1;GCF_013393925.1;GCF_025677855.1;GCF_002949795.1;GCF_003443655.1;GCF_025860405.1	Other / unassigned	Novel/uncertain candidate
GF_00233					False	1.0	1.0	True	1	True	False	0	0						False	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A		NOS7107_RS04450	43	43	GCF_000316625.1;GCF_009856605.1;GCF_019976755.1;GCF_009498015.1;GCF_000204075.1;GCF_001548375.1;GCF_052692655.1;GCF_043099315.1;GCF_029953635.1;GCF_043099735.1	GCF_000316625.1;GCF_009856605.1;GCF_019976755.1;GCF_009498015.1;GCF_000204075.1;GCF_001548375.1;GCF_052692655.1;GCF_043099315.1;GCF_029953635.1;GCF_043099735.1	Other / unassigned	Novel/uncertain candidate
GF_00236					False	1.0	1.0	True	1	True	False	0	0						False	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD		NOS7107_RS07765	43	43	GCF_000316625.1;GCF_000316575.1;GCF_038050375.1;GCF_002949795.1;GCF_009873495.1;GCF_014023275.1;GCF_052692655.1;GCF_013343235.1;GCF_013393925.1;GCF_028623165.1	GCF_000316625.1;GCF_000316575.1;GCF_038050375.1;GCF_002949795.1;GCF_009873495.1;GCF_014023275.1;GCF_052692655.1;GCF_013343235.1;GCF_013393925.1;GCF_028623165.1	Other / unassigned	Novel/uncertain candidate
GF_00237					False	1.0	1.0	True	1	True	False	0	0						False	TolB family protein		NOS7107_RS08055	41	41	GCF_000316625.1;GCF_029953635.1;GCF_013393905.1;GCF_000009705.1;GCF_000020025.1;GCF_014023275.1;GCF_052692655.1;GCF_000316645.1;GCF_011769525.1;GCF_002896875.1	GCF_000316625.1;GCF_029953635.1;GCF_013393905.1;GCF_000009705.1;GCF_000020025.1;GCF_014023275.1;GCF_052692655.1;GCF_000316645.1;GCF_011769525.1;GCF_002896875.1	Other / unassigned	Novel/uncertain candidate
