gene_family	effect_size_mean	effect_size_median	effect_size_max	n_runs_with_directionality	is_positive_assoc	diazotroph_pct_mean	diazotroph_pct_max	is_pure_any	n_runs_with_purity	is_pure_pos_any	is_pure_neg_any	n_models_with_importance	n_run_model_hits	consensus_rank_pct_mean	consensus_rank_pct_median	best_rank	module_mode	n_runs_with_module	used_in_any_final_set	product	go_ids	locus_tag	n_member_proteins	n_member_genomes	example_proteins	example_genomes	module_bin	fox_status
GF_02141	0.665754106520657	0.665754106520657	0.665754106520657	1.0	True	0.7755102040816326	0.7755102040816326	False	1	False	False	4	4	0.9792663476874004	0.9760765550239234	4.0			False	transketolase		WH8501_RS04495	98	98	GCF_050563455.1;GCF_052692655.1;GCF_003443655.1;GCF_019056575.1;GCF_003015225.1;GCF_052692665.1;GCF_029953635.1;GCF_000316685.1;GCF_000284455.1;GCF_000020025.1	GCF_050563455.1;GCF_052692655.1;GCF_003443655.1;GCF_019056575.1;GCF_003015225.1;GCF_052692665.1;GCF_029953635.1;GCF_000316685.1;GCF_000284455.1;GCF_000020025.1	Other / unassigned	Novel/uncertain candidate
GF_01328	0.7818126335062557	0.7818126335062557	0.7818126335062557	1.0	True	0.8850574712643678	0.8850574712643678	False	1	False	False	4	4	0.9728867623604466	0.9776714513556619	5.0			False	Lin0512 family protein		J5X98_RS16585	87	87	GCF_019891175.1;GCF_047276495.1;GCF_000317435.1;GCF_000009705.1;GCF_009856605.1;GCF_000204075.1;GCF_009498015.1;GCF_048568275.1;GCF_048568235.1;GCF_904830925.1	GCF_019891175.1;GCF_047276495.1;GCF_000317435.1;GCF_000009705.1;GCF_009856605.1;GCF_000204075.1;GCF_009498015.1;GCF_048568275.1;GCF_048568235.1;GCF_904830925.1	Other / unassigned	Novel/uncertain candidate
GF_00080	0.7585241413638627	0.7585241413638627	0.7585241413638627	1.0	True	0.8469387755102041	0.8469387755102041	False	1	False	False	4	4	0.9681020733652312	0.9752791068580542	9.0			False	CobW family GTP-binding protein		CCE_RS22855	98	98	GCF_000017845.1;GCF_002368355.1;GCF_019977735.1;GCF_002368455.1;GCF_002368395.1;GCF_000317515.1;GCF_044923475.1;GCF_000021825.1;GCF_000478825.2;GCF_001746915.2	GCF_000017845.1;GCF_002368355.1;GCF_019977735.1;GCF_002368455.1;GCF_002368395.1;GCF_000317515.1;GCF_044923475.1;GCF_000021825.1;GCF_000478825.2;GCF_001746915.2	Other / unassigned	Novel/uncertain candidate
GF_01834	0.6832136566860859	0.6832136566860859	0.6832136566860859	1.0	True	0.7520661157024794	0.7520661157024794	False	1	False	False	4	4	0.9629186602870814	0.9649122807017544	13.0			False	type I glyceraldehyde-3-phosphate dehydrogenase		ACF3DW_RS15170	121	121	GCF_043099305.1;GCF_025677855.1;GCF_043099725.1;GCF_019977735.1;GCF_042465725.1;GCF_038096175.1;GCF_000020025.1;GCF_019976755.1;GCF_012516395.1;GCF_048568275.1	GCF_043099305.1;GCF_025677855.1;GCF_043099725.1;GCF_019977735.1;GCF_042465725.1;GCF_038096175.1;GCF_000020025.1;GCF_019976755.1;GCF_012516395.1;GCF_048568275.1	Other / unassigned	FOX-consistent support function (plausible rediscovery)
GF_02180	0.5246478873239436	0.5246478873239436	0.5246478873239436	1.0	True	0.6126760563380281	0.6126760563380281	False	1	False	False	4	4	0.9557416267942584	0.9561403508771931	8.0			False	50S ribosomal protein L5		NSTC745_RS01225	142	142	GCF_052692665.1;GCF_032163395.1;GCF_038096175.1;GCF_014489415.1;GCF_052692655.1;GCF_001548455.1;GCF_022376295.1;GCF_018139025.1;GCF_000317125.1;GCF_003443655.1	GCF_052692665.1;GCF_032163395.1;GCF_038096175.1;GCF_014489415.1;GCF_052692655.1;GCF_001548455.1;GCF_022376295.1;GCF_018139025.1;GCF_000317125.1;GCF_003443655.1	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)
GF_00856	0.7335082458770614	0.7335082458770614	0.7335082458770614	1.0	True	0.896551724137931	0.896551724137931	False	1	False	False	4	4	0.9533492822966508	0.9657097288676236	6.0			False	ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase		D1367_RS12540	58	58	GCF_003443655.1;GCF_000316575.1;GCF_009372195.1;GCF_025677855.1;GCF_022063185.1;GCF_000317695.1;GCF_009856605.1;GCF_009498015.1;GCF_000204075.1;GCF_025860405.1	GCF_003443655.1;GCF_000316575.1;GCF_009372195.1;GCF_025677855.1;GCF_022063185.1;GCF_000317695.1;GCF_009856605.1;GCF_009498015.1;GCF_000204075.1;GCF_025860405.1	Other / unassigned	FOX-consistent support function (plausible rediscovery)
GF_00300	0.6904325347921488	0.6904325347921488	0.6904325347921488	1.0	True	0.7864077669902912	0.7864077669902912	False	1	False	False	4	4	0.9505582137161084	0.974481658692185	9.0			False	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase		RIV7116_RS17425	103	103	GCF_000316665.1;GCF_029953635.1;GCF_018139025.1;GCF_022063185.1;GCF_019976755.1;GCF_024584745.1;GCF_000316625.1;GCF_032393985.1;GCF_017164015.1;GCF_000317495.1	GCF_000316665.1;GCF_029953635.1;GCF_018139025.1;GCF_022063185.1;GCF_019976755.1;GCF_024584745.1;GCF_000316625.1;GCF_032393985.1;GCF_017164015.1;GCF_000317495.1	Other / unassigned	Novel/uncertain candidate
GF_00437	0.7448556511056511	0.7448556511056511	0.7448556511056511	1.0	True	0.8783783783783784	0.8783783783783784	False	1	False	False	4	4	0.9441786283891548	0.9728867623604465	7.0			False	STAS domain-containing protein		PCC7418_RS17700	74	74	GCF_000317635.1;GCF_000317615.1;GCF_007904085.1;GCF_001548455.1;GCF_002896875.1;GCF_019976755.1;GCF_043099315.1;GCF_002949735.1;GCF_013343235.1;GCF_043099735.1	GCF_000317635.1;GCF_000317615.1;GCF_007904085.1;GCF_001548455.1;GCF_002896875.1;GCF_019976755.1;GCF_043099315.1;GCF_002949735.1;GCF_013343235.1;GCF_043099735.1	Other / unassigned	Novel/uncertain candidate
GF_00608	0.3486169003410382	0.3486169003410382	0.3486169003410382	1.0	True	0.5714285714285714	0.5714285714285714	False	1	False	False	4	4	0.9366028708133972	0.9521531100478469	19.0			False	glutamate synthase small subunit		BH720_RS21970	49	49	GCF_001746915.2;GCF_027942295.1;GCF_013177315.1;GCF_904830925.1;GCF_030323025.1;GCF_001548395.1;GCF_029910235.1;GCF_000018105.1;GCF_026802175.1;GCF_032705245.1	GCF_001746915.2;GCF_027942295.1;GCF_013177315.1;GCF_904830925.1;GCF_030323025.1;GCF_001548395.1;GCF_029910235.1;GCF_000018105.1;GCF_026802175.1;GCF_032705245.1	Other / unassigned	Novel/uncertain candidate
GF_01659	0.7175878308883235	0.7175878308883235	0.7175878308883235	1.0	True	0.8979591836734694	0.8979591836734694	False	1	False	False	4	4	0.9242424242424242	0.9218500797448166	16.0			False	fumarate reductase/succinate dehydrogenase flavoprotein subunit		RS893_RS29710	49	49	GCF_032393985.1;GCF_013393905.1;GCF_032598965.1;GCF_000734895.2;GCF_038096175.1;GCF_000020025.1;GCF_009873495.1;GCF_032620035.1;GCF_017164015.1;GCF_019977735.1	GCF_032393985.1;GCF_013393905.1;GCF_032598965.1;GCF_000734895.2;GCF_038096175.1;GCF_000020025.1;GCF_009873495.1;GCF_032620035.1;GCF_017164015.1;GCF_019977735.1	Respiration & bioenergetics	FOX-consistent support function (plausible rediscovery)
GF_01337	0.7506898086337339	0.7506898086337339	0.7506898086337339	1.0	True	0.8285714285714286	0.8285714285714286	False	1	False	False	4	4	0.9222488038277512	0.970494417862839	3.0			False	sulfate adenylyltransferase		J5X98_RS16770	105	105	GCF_019891175.1;GCF_020091585.1;GCF_032598965.1;GCF_048077055.1;GCF_026802175.1;GCF_047649235.1;GCF_002142495.1;GCF_002142475.1;GCF_049200465.1;GCF_001548435.1	GCF_019891175.1;GCF_020091585.1;GCF_032598965.1;GCF_048077055.1;GCF_026802175.1;GCF_047649235.1;GCF_002142495.1;GCF_002142475.1;GCF_049200465.1;GCF_001548435.1	Other / unassigned	Novel/uncertain candidate
GF_01462	0.7242035003298537	0.7242035003298537	0.7242035003298537	1.0	True	0.863013698630137	0.863013698630137	False	1	False	False	4	4	0.9114832535885168	0.9545454545454546	15.0			False	manganese catalase family protein		M5J74_RS27885	73	73	GCF_023546805.1;GCF_017164015.1;GCF_052692665.1;GCF_032163395.1;GCF_000316625.1;GCF_000317045.1;GCF_000316645.1;GCF_025860405.1;GCF_011769525.1;GCF_026802175.1	GCF_023546805.1;GCF_017164015.1;GCF_052692665.1;GCF_032163395.1;GCF_000316625.1;GCF_000317045.1;GCF_000316645.1;GCF_025860405.1;GCF_011769525.1;GCF_026802175.1	O2 protection & redox homeostasis	FOX-consistent support function (plausible rediscovery)
GF_02071	0.7471947968241877	0.7471947968241877	0.7471947968241877	1.0	True	0.822429906542056	0.822429906542056	False	1	False	False	4	4	0.8991228070175439	0.9832535885167464	3.0			False	methionine adenosyltransferase		ACM1PF_RS32800	107	107	GCF_048077055.1;GCF_026802175.1;GCF_013177315.1;GCF_049200465.1;GCF_032705245.1;GCF_016919485.1;GCF_001548395.1;GCF_019891175.1;GCF_000317045.1;GCF_026240635.1	GCF_048077055.1;GCF_026802175.1;GCF_013177315.1;GCF_049200465.1;GCF_032705245.1;GCF_016919485.1;GCF_001548395.1;GCF_019891175.1;GCF_000317045.1;GCF_026240635.1	Other / unassigned	Novel/uncertain candidate
