gene_family	condensate_mapped_rows	condensate_best_score	condensate_mean_score	condensate_median_score	condensate_best_rank_cyano	condensate_training_positive_rows	condensate_withheld_rows	condensate_label_names	condensate_label_sources	condensate_best_products	condensate_best_organisms	condensate_mapping_methods	condensate_mapping_conflict_rows	condensate_family_rank	condensate_family_percentile	candidate_set	product	module_bin	fox_status	consensus_rank_pct_mean	diazotroph_pct_mean	primary_bridge_broad_ge1u_ge1f	strict_unicellular_breadth_ge3u_ge1f	is_model_supported	is_highly_pure	is_candidate_inventory	top_1pct	top_5pct	top_10pct	top_20pct
GF_01397	1	0.9541773032773008	0.9541773032773008	0.9541773032773008	113	0	0			form I ribulose bisphosphate carboxylase large subunit	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	6	0.004576659038901602	Model-Supported	form I ribulose bisphosphate carboxylase large subunit	Other / unassigned	Novel/uncertain candidate	0.2188995215311004	0.3939393939393939	True	True	True	False	True	True	True	True	True
GF_01799	1	0.9080681379072406	0.9080681379072406	0.9080681379072406	152	0	0			chaperonin GroEL	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	8	0.006102212051868803	Model-Supported	chaperonin GroEL	Other / unassigned	Novel/uncertain candidate	0.3438995215311005	0.2660332541567696	True	True	True	False	True	True	True	True	True
GF_00614	1	0.7058711675965236	0.7058711675965236	0.7058711675965236	237	0	0			molecular chaperone DnaK	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	13	0.009916094584286803	Model-Supported	molecular chaperone DnaK	Other / unassigned	Novel/uncertain candidate	0.2368421052631578	0.4128787878787879	True	True	True	False	True	True	True	True	True
GF_00688	1	0.4793662456976869	0.4793662456976869	0.4793662456976869	287	0	0			30S ribosomal protein S13	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	16	0.012204424103737605	Model-Supported	30S ribosomal protein S13	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)	0.414274322169059	0.4057377049180328	True	True	True	False	True	False	True	True	True
GF_00916	1	0.3963660051316071	0.3963660051316071	0.3963660051316071	310	0	0			NAD(P)H-quinone oxidoreductase subunit H	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	17	0.012967200610221205	Model-Supported	NAD(P)H-quinone oxidoreductase subunit H	Other / unassigned	Novel/uncertain candidate	0.492822966507177	0.4380165289256198	True	True	True	False	True	False	True	True	True
GF_00659	1	0.34753815249204	0.34753815249204	0.34753815249204	326	0	0			DUF4912 domain-containing protein	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	18	0.013729977116704805	Model-Supported	DUF4912 domain-containing protein	Stress / membrane / uncharacterized	Novel/uncertain candidate	0.3931419457735247	0.8987341772151899	True	False	True	False	True	False	True	True	True
GF_00393	1	0.3083456544490275	0.3083456544490275	0.3083456544490275	335	0	0			DNA-directed RNA polymerase subunit beta	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	19	0.014492753623188406	Model-Supported	DNA-directed RNA polymerase subunit beta	Housekeeping / lineage marker	Housekeeping marker (not a transplant candidate)	0.4497607655502392	0.4163568773234201	True	True	True	False	True	False	True	True	True
GF_00588	1	0.3014921019606635	0.3014921019606635	0.3014921019606635	342	0	0			signal recognition particle protein	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	20	0.015255530129672006	Model-Supported	signal recognition particle protein	Other / unassigned	Novel/uncertain candidate	0.5861244019138756	0.7777777777777778	True	False	True	False	True	False	True	True	True
GF_01536	1	0.227381305564141	0.227381305564141	0.227381305564141	370	0	0			transcription termination factor NusA	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	23	0.017543859649122806	Model-Supported	transcription termination factor NusA	Regulation	Novel/uncertain candidate	0.3106060606060606	0.6724137931034483	True	False	True	False	True	False	True	True	True
GF_02069	1	0.1555129396538081	0.1555129396538081	0.1555129396538081	414	0	0			elongation factor G	Nostoc sp. PCC 7120	uniprot_id_to_GF	0	26	0.019832189168573607	Model-Supported	elongation factor G	Other / unassigned	Novel/uncertain candidate	0.8596491228070176	0.6909090909090909	True	False	True	False	True	False	True	True	True
